Codigo do Municipio;Municipios;Territorio de Identidade;Ano;total_homens;total_mulheres;Total_urb                                                                          ;Homem_urb;Mulher_urb;Total_rural;Homem_rural;Mulher_rural
2911857;Heliópolis;Semi-Árido Nordeste II;1991;5729;5647;2367;1140;1227;9009;4589;4420
2911907;Iaçu;Piemonte do Paraguaçu;1991;12942;13123;18806;9123;9683;7259;3819;3440
2912004;Ibiassucê;Sertão Produtivo;1991;6023;5875;2956;1414;1542;8942;4609;4333
2912103;Ibicaraí;Litoral Sul;1991;15150;15410;19332;9343;9989;11228;5807;5421
2912202;Ibicoara;Chapada Diamantina;1991;4333;4393;1253;585;668;7473;3748;3725
2912301;Ibicuí;Médio Sudoeste da Bahia;1991;8125;7511;9308;4685;4623;6328;3440;2888
2912400;Ibipeba;Irecê;1991;8974;8475;4973;2507;2466;12476;6467;6009
2912509;Ibipitanga;Bacia do Paramirim;1991;6485;6760;2199;1062;1137;11046;5423;5623
2912608;Ibiquera;Piemonte do Paraguaçu;1991;2891;2947;2060;964;1096;3778;1927;1851
2912707;Ibirapitanga;Baixo Sul;1991;13746;13038;6697;3312;3385;20087;10434;9653
2912806;Ibirapoã;Extremo Sul;1991;4221;4069;3413;1691;1722;4877;2530;2347
2912905;Ibirataia;Médio Rio de Contas;1991;11356;11338;15369;7477;7892;7325;3879;3446
2913002;Ibitiara;Chapada Diamantina;1991;8360;8648;2921;1406;1515;14087;6954;7133
2913101;Ibititá;Irecê;1991;8838;8447;6588;3260;3328;10697;5578;5119
2913200;Ibotirama;Velho Chico;1991;11771;11499;15231;7494;7737;8039;4277;3762
2913309;Ichu;Sisal;1991;4313;4283;3124;1511;1613;5472;2802;2670
2913408;Igaporã;Velho Chico;1991;7021;6931;5903;2874;3029;8049;4147;3902
2913457;Igrapiúna;Baixo Sul;1991;6722;5973;966;484;482;11729;6238;5491
2913507;Iguaí;Médio Sudoeste da Bahia;1991;11849;11135;9062;4511;4551;13922;7338;6584
2913606;Ilhéus;Litoral Sul;1991;112891;110859;144232;70190;74042;79518;42701;36817
2913705;Inhambupe;Litoral Norte e Agreste Baiano;1991;12854;12923;10057;4816;5241;15720;8038;7682
2913804;Ipecaetá;Portal do Sertão;1991;7978;8398;1411;702;709;14965;7276;7689
2913903;Ipiaú;Médio Rio de Contas;1991;22415;22830;36408;17654;18754;8837;4761;4076
2914000;Ipirá;Bacia do Jacuípe;1991;31003;31669;18088;8444;9644;44584;22559;22025
2914109;Ipupiara;Irecê;1991;4059;3975;4102;2041;2061;3932;2018;1914
2914208;Irajuba;Vale de Jequiriçá;1991;3282;3072;1832;899;933;4522;2383;2139
2914307;Iramaia;Chapada Diamantina;1991;8731;8468;6817;3365;3452;10382;5366;5016
2914406;Iraquara;Chapada Diamantina;1991;8442;8564;4093;1986;2107;12913;6456;6457
2914505;Irará;Portal do Sertão;1991;11710;12159;7368;3462;3906;16501;8248;8253
2914604;Irecê;Irecê;1991;24876;26032;40069;19311;20758;10839;5565;5274
2914653;Itabela;Costa do Descobrimento;1991;10670;10178;13577;6805;6772;7271;3865;3406
2914703;Itaberaba;Piemonte do Paraguaçu;1991;25899;27843;36934;17306;19628;16808;8593;8215
2914802;Itabuna;Litoral Sul;1991;88661;96616;177561;84470;93091;7716;4191;3525
2914901;Itacaré;Litoral Sul;1991;9815;8616;4275;2173;2102;14156;7642;6514
2915007;Itaeté;Chapada Diamantina;1991;7142;7154;4676;2240;2436;9620;4902;4718
2915106;Itagi;Médio Rio de Contas;1991;7330;7224;8536;4189;4347;6018;3141;2877
2915205;Itagibá;Médio Rio de Contas;1991;10318;9598;7284;3595;3689;12632;6723;5909
2915304;Itagimirim;Costa do Descobrimento;1991;4008;3879;5078;2560;2518;2809;1448;1361
2915353;Itaguaçu da Bahia;Irecê;1991;8998;8343;1530;779;751;15811;8219;7592
2915403;Itaju do Colônia;Litoral Sul;1991;5038;4735;2885;1403;1482;6888;3635;3253
2915502;Itajuípe;Litoral Sul;1991;12639;12292;15972;7803;8169;8959;4836;4123
2915601;Itamaraju;Extremo Sul;1991;32346;31962;44449;21761;22688;19859;10585;9274
2915700;Itamari;Médio Rio de Contas;1991;4639;4192;4649;2313;2336;4182;2326;1856
2915809;Itambé;Médio Sudoeste da Bahia;1991;11986;11915;18516;9074;9442;5385;2912;2473
2915908;Itanagra;Litoral Norte e Agreste Baiano;1991;2868;2685;1382;692;690;4171;2176;1995
2916005;Itanhém;Extremo Sul;1991;11846;11379;13060;6377;6683;10165;5469;4696
2916104;Itaparica;Metropolitana de Salvador;1991;7392;7663;15055;7392;7663;0;0;0
2916203;Itapé;Litoral Sul;1991;7806;7838;7565;3594;3971;8079;4212;3867
2916302;Itapebi;Costa do Descobrimento;1991;5783;5295;6396;3262;3134;4682;2521;2161
2916401;Itapetinga;Médio Sudoeste da Bahia;1991;26067;27409;49340;23921;25419;4136;2146;1990
2916500;Itapicuru;Litoral Norte e Agreste Baiano;1991;12577;12274;3395;1650;1745;21456;10927;10529
2916609;Itapitanga;Litoral Sul;1991;5361;5113;6095;2994;3101;4379;2367;2012
2916708;Itaquara;Vale de Jequiriçá;1991;3662;3518;3070;1518;1552;4110;2144;1966
2916807;Itarantim;Médio Sudoeste da Bahia;1991;8832;8384;10127;5020;5107;7089;3812;3277
2916856;Itatim;Piemonte do Paraguaçu;1991;4963;5076;6254;3029;3225;3785;1934;1851
2916906;Itiruçu;Vale de Jequiriçá;1991;6236;6386;7700;3724;3976;4922;2512;2410
2917003;Itiúba;Sisal;1991;17199;17204;7068;3301;3767;27335;13898;13437
2917102;Itororó;Médio Sudoeste da Bahia;1991;10316;10194;15924;7916;8008;4586;2400;2186
2917201;Ituaçu;Sertão Produtivo;1991;7801;8294;3014;1371;1643;13081;6430;6651
2917300;Ituberá;Baixo Sul;1991;10332;10221;11806;5704;6102;8747;4628;4119
2917334;Iuiu;Sertão Produtivo;1991;5541;5300;4227;2110;2117;6614;3431;3183
2917359;Jaborandi;Bacia do Rio Corrente;1991;5951;5741;1687;841;846;10005;5110;4895
2917409;Jacaraci;Vitória da Conquista;1991;6972;6967;2439;1182;1257;11500;5790;5710
2917508;Jacobina;Piemonte da Diamantina;1991;37113;39405;50009;23673;26336;26509;13440;13069
2917607;Jaguaquara;Vale de Jequiriçá;1991;19371;20001;26977;12898;14079;12395;6473;5922
2917706;Jaguarari;Piemonte Norte do Itapicuru;1991;15632;15509;6070;2926;3144;25071;12706;12365
2917805;Jaguaripe;Baixo Sul;1991;7058;6782;3943;1975;1968;9897;5083;4814
2917904;Jandaíra;Litoral Norte e Agreste Baiano;1991;4242;3983;4471;2259;2212;3754;1983;1771
2918001;Jequié;Médio Rio de Contas;1991;70092;74680;116885;55656;61229;27887;14436;13451
2918100;Jeremoabo;Semi-Árido Nordeste II;1991;19350;19099;13640;6573;7067;24809;12777;12032
2918209;Jiquiriçá;Vale de Jequiriçá;1991;5950;5813;3386;1623;1763;8377;4327;4050
2918308;Jitaúna;Médio Rio de Contas;1991;10569;10262;6993;3328;3665;13838;7241;6597
2918357;João Dourado;Irecê;1991;9703;9508;9336;4624;4712;9875;5079;4796
2918407;Juazeiro;Sertão do São Francisco;1991;63223;65544;102266;49312;52954;26501;13911;12590
2918456;Jucuruçu;Extremo Sul;1991;8434;7578;1299;666;633;14713;7768;6945
2918506;Jussara;Irecê;1991;7150;6852;8547;4296;4251;5455;2854;2601
2918555;Jussari;Litoral Sul;1991;4489;3981;4609;2351;2258;3861;2138;1723
2918605;Jussiape;Chapada Diamantina;1991;4960;5269;3902;1933;1969;6327;3027;3300
2918704;Lafayette Coutinho;Vale de Jequiriçá;1991;2636;2489;1771;871;900;3354;1765;1589
2919058;Lagedo do Tabocal;Vale de Jequiriçá;1991;3356;3120;3291;1630;1661;3185;1726;1459
2918753;Lagoa Real;Sertão Produtivo;1991;5657;5321;1148;561;587;9830;5096;4734
2918803;Laje;Vale de Jequiriçá;1991;9284;9035;3849;1806;2043;14470;7478;6992
2918902;Lajedão;Extremo Sul;1991;1995;1823;1663;807;856;2155;1188;967
2919009;Lajedinho;Piemonte do Paraguaçu;1991;3233;2992;892;429;463;5333;2804;2529
2919108;Lamarão;Sisal;1991;5115;5160;1521;729;792;8754;4386;4368
2919157;Lapão;Irecê;1991;10636;10277;6848;3392;3456;14065;7244;6821
2919207;Lauro de Freitas;Metropolitana de Salvador;1991;34330;34940;44374;21809;22565;24896;12521;12375
2919306;Lençóis;Chapada Diamantina;1991;3763;3821;3481;1641;1840;4103;2122;1981
2919405;Licínio de Almeida;Vitória da Conquista;1991;7120;6969;5771;2852;2919;8318;4268;4050
2919504;Livramento de N. Senhora;Sertão Produtivo;1991;17208;17137;13200;6350;6850;21145;10858;10287
2919553;Luís Eduardo Magalhães;Bacia do Rio Grande;1991;;;;;;;;
2919603;Macajuba;Piemonte do Paraguaçu;1991;5209;5270;3235;1535;1700;7244;3674;3570
2919702;Macarani;Médio Sudoeste da Bahia;1991;7092;6965;8881;4315;4566;5176;2777;2399
2919801;Macaúbas;Bacia do Paramirim;1991;16920;17638;8001;3789;4212;26557;13131;13426
2919900;Macururé;Itaparica;1991;3269;3501;1353;600;753;5417;2669;2748
2919926;Madre de Deus;Metropolitana de Salvador;1991;4656;4527;8792;4451;4341;391;205;186
2919959;Maetinga;Vitória da Conquista;1991;5225;5174;1317;657;660;9082;4568;4514
2920007;Maiquinique;Médio Sudoeste da Bahia;1991;4052;3781;4056;2044;2012;3777;2008;1769
2920106;Mairi;Bacia do Jacuípe;1991;10109;10660;6980;3191;3789;13789;6918;6871
2920205;Malhada;Velho Chico;1991;7753;7457;2688;1356;1332;12522;6397;6125
2920304;Malhada de Pedras;Sertão Produtivo;1991;3760;3519;1501;758;743;5778;3002;2776
2920403;Manoel Vitorino;Médio Rio de Contas;1991;8494;8531;5186;2512;2674;11839;5982;5857
2920452;Mansidão;Bacia do Rio Grande;1991;5351;4939;1844;935;909;8446;4416;4030
2920502;Maracás;Vale de Jequiriçá;1991;13665;13489;12195;5841;6354;14959;7824;7135
2920601;Maragogipe;Recôncavo;1991;19412;19399;20472;9779;10693;18339;9633;8706
2920700;Maraú;Litoral Sul;1991;9314;8182;2651;1345;1306;14845;7969;6876
2920809;Marcionílio Souza;Chapada Diamantina;1991;7116;6545;3934;1939;1995;9727;5177;4550
2920908;Mascote;Litoral Sul;1991;10421;9757;1573;757;816;18605;9664;8941
2921005;Mata de São João;Litoral Norte e Agreste Baiano;1991;15340;15195;24143;11923;12220;6392;3417;2975
2921054;Matina;Velho Chico;1991;4558;4441;1389;683;706;7610;3875;3735
2921104;Medeiros Neto;Extremo Sul;1991;11620;11439;15704;7743;7961;7355;3877;3478
2921203;Miguel Calmon;Piemonte da Diamantina;1991;12583;12677;11969;5645;6324;13291;6938;6353
2921302;Milagres;Vale de Jequiriçá;1991;4572;4726;7200;3484;3716;2098;1088;1010
2921401;Mirangaba;Piemonte da Diamantina;1991;7227;7424;4181;2015;2166;10470;5212;5258
2921450;Mirante;Vitória da Conquista;1991;4172;4017;496;249;247;7693;3923;3770
2921500;Monte Santo;Sisal;1991;25788;25492;4855;2266;2589;46425;23522;22903
2921609;Morpará;Velho Chico;1991;3808;3603;3637;1832;1805;3774;1976;1798
2921708;Morro do Chapéu;Chapada Diamantina;1991;15915;15851;15519;7372;8147;16247;8543;7704
2921807;Mortugaba;Vitória da Conquista;1991;6340;6567;4149;1984;2165;8758;4356;4402
2921906;Mucugê;Chapada Diamantina;1991;5020;5314;2230;1074;1156;8104;3946;4158
2922003;Mucuri;Extremo Sul;1991;9181;8425;4810;2540;2270;12796;6641;6155
2922052;Mulungu do Morro;Irecê;1991;6800;6941;4931;2363;2568;8810;4437;4373
2922102;Mundo Novo;Piemonte do Paraguaçu;1991;15072;15782;11983;5541;6442;18871;9531;9340
2922201;Muniz Ferreira;Recôncavo;1991;3209;3071;2524;1218;1306;3756;1991;1765
2922250;Muquém do São Francisco;Velho Chico;1991;4309;3948;807;407;400;7450;3902;3548
2922300;Muritiba;Recôncavo;1991;11740;12794;14709;6869;7840;9825;4871;4954
2922409;Mutuípe;Vale de Jequiriçá;1991;10138;10353;6943;3285;3658;13548;6853;6695
2922508;Nazaré;Recôncavo;1991;12537;13417;20491;9698;10793;5463;2839;2624
2922607;Nilo Peçanha;Baixo Sul;1991;6345;5945;1980;971;1009;10310;5374;4936
2922656;Nordestina;Sisal;1991;4815;4500;1370;683;687;7945;4132;3813
2922706;Nova Canaã;Médio Sudoeste da Bahia;1991;7181;6634;5527;2791;2736;8288;4390;3898
2922730;Nova Fátima;Bacia do Jacuípe;1991;5186;5259;3462;1687;1775;6983;3499;3484
2922755;Nova Ibiá;Médio Rio de Contas;1991;5424;5078;2358;1185;1173;8144;4239;3905
2922805;Nova Itarana;Vale de Jequiriçá;1991;3317;3319;1960;951;1009;4676;2366;2310
2922854;Nova Redenção;Chapada Diamantina;1991;5123;5195;3581;1771;1810;6737;3352;3385
2922904;Nova Soure;Semi-Árido Nordeste II;1991;12249;12425;10177;4908;5269;14497;7341;7156
2923001;Nova Viçosa;Extremo Sul;1991;12969;12601;9374;4676;4698;16196;8293;7903
2923035;Novo Horizonte;Chapada Diamantina;1991;5059;5125;1357;671;686;8827;4388;4439
2923050;Novo Triunfo;Semi-Árido Nordeste II;1991;5464;5616;2398;1139;1259;8682;4325;4357
2923100;Olindina;Litoral Norte e Agreste Baiano;1991;10681;10781;9102;4390;4712;12360;6291;6069
2923209;Oliveira dos Brejinhos;Velho Chico;1991;10674;10431;4191;2025;2166;16914;8649;8265
