;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;genero;total_genero
81;2906808;Cansanção;Sisal;1991;total_homens;15508
82;2906824;Canudos;Sertão do São Francisco;1991;total_homens;6820
83;2906857;Capela do Alto Alegre;Bacia do Jacuípe;1991;total_homens;8550
84;2906873;Capim Grosso;Piemonte da Diamantina;1991;total_homens;9730
85;2906899;Caraíbas;Sudoeste Baiano;1991;total_homens;8609
86;2906907;Caravelas;Extremo Sul;1991;total_homens;10042
87;2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;1991;total_homens;3263
88;2907103;Carinhanha;Velho Chico;1991;total_homens;13047
89;2907202;Casa Nova;Sertão do São Francisco;1991;total_homens;23738
90;2907301;Castro Alves;Recôncavo;1991;total_homens;12841
91;2907400;Catolândia;Bacia do Rio Grande;1991;total_homens;1675
92;2907509;Catu;Litoral Norte e Agreste Baiano;1991;total_homens;21455
93;2907558;Caturama;Bacia do Paramirim;1991;total_homens;4786
94;2907608;Central;Irecê;1991;total_homens;7335
95;2907707;Chorrochó;Itaparica;1991;total_homens;4616
96;2907806;Cícero Dantas;Semiárido Nordeste II;1991;total_homens;13161
97;2907905;Cipó;Semiárido Nordeste II;1991;total_homens;5907
98;2908002;Coaraci;Litoral Sul;1991;total_homens;15594
99;2908101;Côcos;Bacia do Rio Corrente;1991;total_homens;8086
100;2908200;Conceição da Feira;Portal do Sertão;1991;total_homens;7759
101;2908309;Conceição do Almeida;Recôncavo;1991;total_homens;9182
102;2908408;Conceição do Coité;Sisal;1991;total_homens;26052
103;2908507;Conceição do Jacuípe;Portal do Sertão;1991;total_homens;11225
104;2908606;Conde;Litoral Norte e Agreste Baiano;1991;total_homens;8092
105;2908705;Condeúba;Sudoeste Baiano;1991;total_homens;8730
106;2908804;Contendas do Sincorá;Sertão Produtivo;1991;total_homens;2346
107;2908903;Coração de Maria;Portal do Sertão;1991;total_homens;10765
108;2909000;Cordeiros;Sudoeste Baiano;1991;total_homens;5351
109;2909109;Coribe;Bacia do Rio Corrente;1991;total_homens;7231
110;2909208;Coronel João Sá;Semiárido Nordeste II;1991;total_homens;8741
111;2909307;Correntina;Bacia do Rio Corrente;1991;total_homens;13904
112;2909406;Cotegipe;Bacia do Rio Grande;1991;total_homens;6375
113;2909505;Cravolândia;Vale do Jiquiriçá;1991;total_homens;2338
114;2909604;Crisópolis;Litoral Norte e Agreste Baiano;1991;total_homens;8435
115;2909703;Cristópolis;Bacia do Rio Grande;1991;total_homens;6378
116;2909802;Cruz das Almas;Recôncavo;1991;total_homens;21725
117;2909901;Curaçá;Sertão do São Francisco;1991;total_homens;12696
118;2910008;Dário Meira;Médio Rio de Contas;1991;total_homens;6992
119;2910057;Dias D'Ávila;Metropolitano de Salvador;1991;total_homens;15884
120;2910107;Dom Basílio;Sertão Produtivo;1991;total_homens;4916
121;2910206;Dom Macedo Costa;Recôncavo;1991;total_homens;1925
122;2910305;Elísio Medrado;Vale do Jiquiriçá;1991;total_homens;3839
