;codigo_municipio;Municipios;Territorios.de.Identidade;sexo;Ano;faixa_etarias;total_faixa
62;2905008;Cachoeira;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-1600
63;2905107;Caculé;Piemonte da Diamantina;Masculino;2000;Entre.0.a.4;-982
64;2905156;Caém;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-596
65;2905206;Caetanos;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-590
66;2905305;Caetité;Irecê;Masculino;2000;Entre.0.a.4;-2167
67;2905404;Cafarnaum;Baixo Sul;Masculino;2000;Entre.0.a.4;-994
68;2905503;Cairu;Piemonte Norte do Itapicuru;Masculino;2000;Entre.0.a.4;-662
69;2905602;Caldeirão Grande;Litoral Sul;Masculino;2000;Entre.0.a.4;-624
70;2905701;Camacan;Metropolitano de Salvador;Masculino;2000;Entre.0.a.4;-1734
71;2905800;Camaçari;Baixo Sul;Masculino;2000;Entre.0.a.4;-8995
72;2905909;Camamu;Sertão do São Francisco;Masculino;2000;Entre.0.a.4;-2298
73;2906006;Campo Alegre de Lourdes;Piemonte Norte do Itapicuru;Masculino;2000;Entre.0.a.4;-1549
74;2906105;Campo Formoso;Bacia do Rio Corrente;Masculino;2000;Entre.0.a.4;-3657
75;2906204;Canápolis;Irecê;Masculino;2000;Entre.0.a.4;-539
76;2906303;Canarana;Litoral Sul;Masculino;2000;Entre.0.a.4;-1247
77;2906402;Canavieiras;Sisal;Masculino;2000;Entre.0.a.4;-1819
78;2906501;Candeal;Metropolitano de Salvador;Masculino;2000;Entre.0.a.4;-473
79;2906600;Candeias;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-3891
80;2906709;Candiba;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-458
81;2906808;Cândido Sales;Sisal;Masculino;2000;Entre.0.a.4;-1386
82;2906824;Cansanção;Sertão do São Francisco;Masculino;2000;Entre.0.a.4;-1844
83;2906857;Canudos;Bacia do Jacuípe;Masculino;2000;Entre.0.a.4;-782
84;2906873;Capela do Alto Alegre;Piemonte da Diamantina;Masculino;2000;Entre.0.a.4;-544
85;2906899;Capim Grosso;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-1213
86;2906907;Caraíbas;Extremo Sul;Masculino;2000;Entre.0.a.4;-647
87;2907004;Caravelas;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-1168
88;2907103;Cardeal da Silva;Velho Chico;Masculino;2000;Entre.0.a.4;-572
89;2907202;Carinhanha;Sertão do São Francisco;Masculino;2000;Entre.0.a.4;-1716
90;2907301;Casa Nova;Recôncavo;Masculino;2000;Entre.0.a.4;-3169
91;2907400;Castro Alves;Bacia do Rio Grande;Masculino;2000;Entre.0.a.4;-1273
92;2907509;Catolândia;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-152
93;2907558;Catu;Bacia do Paramirim;Masculino;2000;Entre.0.a.4;-2019
94;2907608;Caturama;Irecê;Masculino;2000;Entre.0.a.4;-311
95;2907707;Central;Itaparica;Masculino;2000;Entre.0.a.4;-918
96;2907806;Chorrochó;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-645
97;2907905;Cícero Dantas;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-1465
98;2908002;Cipó;Litoral Sul;Masculino;2000;Entre.0.a.4;-827
99;2908101;Coaraci;Bacia do Rio Corrente;Masculino;2000;Entre.0.a.4;-1211
100;2908200;Cocos;Portal do Sertão;Masculino;2000;Entre.0.a.4;-919
101;2908309;Conceição da Feira;Recôncavo;Masculino;2000;Entre.0.a.4;-934
102;2908408;Conceição do Almeida;Sisal;Masculino;2000;Entre.0.a.4;-798
103;2908507;Conceição do Coité;Portal do Sertão;Masculino;2000;Entre.0.a.4;-2886
104;2908606;Conceição do Jacuípe;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-1298
105;2908705;Conde;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-1332
106;2908804;Condeúba;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-916
107;2908903;Contendas do Sincorá;Portal do Sertão;Masculino;2000;Entre.0.a.4;-178
