;codigo_municipio;Municipios;Territorios.de.Identidade;sexo;Ano;faixa_etarias;total_faixa
2983;2905156;Caém;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;693
2984;2905206;Caetanos;Sertão Produtivo;Feminino;2000;Entre.5.a.9;703
2985;2905305;Caetité;Irecê;Feminino;2000;Entre.5.a.9;2358
2986;2905404;Cafarnaum;Baixo Sul;Feminino;2000;Entre.5.a.9;948
2987;2905503;Cairu;Piemonte Norte do Itapicuru;Feminino;2000;Entre.5.a.9;661
2988;2905602;Caldeirão Grande;Litoral Sul;Feminino;2000;Entre.5.a.9;708
2989;2905701;Camacan;Metropolitano de Salvador;Feminino;2000;Entre.5.a.9;1762
2990;2905800;Camaçari;Baixo Sul;Feminino;2000;Entre.5.a.9;8324
2991;2905909;Camamu;Sertão do São Francisco;Feminino;2000;Entre.5.a.9;2206
2992;2906006;Campo Alegre de Lourdes;Piemonte Norte do Itapicuru;Feminino;2000;Entre.5.a.9;1743
2993;2906105;Campo Formoso;Bacia do Rio Corrente;Feminino;2000;Entre.5.a.9;3477
2994;2906204;Canápolis;Irecê;Feminino;2000;Entre.5.a.9;593
2995;2906303;Canarana;Litoral Sul;Feminino;2000;Entre.5.a.9;1170
2996;2906402;Canavieiras;Sisal;Feminino;2000;Entre.5.a.9;1839
2997;2906501;Candeal;Metropolitano de Salvador;Feminino;2000;Entre.5.a.9;511
2998;2906600;Candeias;Sertão Produtivo;Feminino;2000;Entre.5.a.9;3501
2999;2906709;Candiba;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;458
3000;2906808;Cândido Sales;Sisal;Feminino;2000;Entre.5.a.9;1475
3001;2906824;Cansanção;Sertão do São Francisco;Feminino;2000;Entre.5.a.9;2041
3002;2906857;Canudos;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;745
3003;2906873;Capela do Alto Alegre;Piemonte da Diamantina;Feminino;2000;Entre.5.a.9;604
3004;2906899;Capim Grosso;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;1293
3005;2906907;Caraíbas;Extremo Sul;Feminino;2000;Entre.5.a.9;914
3006;2907004;Caravelas;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;1181
3007;2907103;Cardeal da Silva;Velho Chico;Feminino;2000;Entre.5.a.9;550
3008;2907202;Carinhanha;Sertão do São Francisco;Feminino;2000;Entre.5.a.9;1739
3009;2907301;Casa Nova;Recôncavo;Feminino;2000;Entre.5.a.9;3085
3010;2907400;Castro Alves;Bacia do Rio Grande;Feminino;2000;Entre.5.a.9;1402
3011;2907509;Catolândia;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;160
3012;2907558;Catu;Bacia do Paramirim;Feminino;2000;Entre.5.a.9;2241
3013;2907608;Caturama;Irecê;Feminino;2000;Entre.5.a.9;518
3014;2907707;Central;Itaparica;Feminino;2000;Entre.5.a.9;903
3015;2907806;Chorrochó;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;588
3016;2907905;Cícero Dantas;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;1542
3017;2908002;Cipó;Litoral Sul;Feminino;2000;Entre.5.a.9;817
3018;2908101;Coaraci;Bacia do Rio Corrente;Feminino;2000;Entre.5.a.9;1486
3019;2908200;Cocos;Portal do Sertão;Feminino;2000;Entre.5.a.9;1006
3020;2908309;Conceição da Feira;Recôncavo;Feminino;2000;Entre.5.a.9;867
3021;2908408;Conceição do Almeida;Sisal;Feminino;2000;Entre.5.a.9;921
3022;2908507;Conceição do Coité;Portal do Sertão;Feminino;2000;Entre.5.a.9;2927
3023;2908606;Conceição do Jacuípe;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;1175
3024;2908705;Conde;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;1375
3025;2908804;Condeúba;Sertão Produtivo;Feminino;2000;Entre.5.a.9;863
3026;2908903;Contendas do Sincorá;Portal do Sertão;Feminino;2000;Entre.5.a.9;202
3027;2909000;Coração de Maria;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;1360
3028;2909109;Cordeiros;Bacia do Rio Corrente;Feminino;2000;Entre.5.a.9;441
3029;2909208;Coribe;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;867
3030;2909307;Coronel João Sá;Bacia do Rio Corrente;Feminino;2000;Entre.5.a.9;1267
3031;2909406;Correntina;Bacia do Rio Grande;Feminino;2000;Entre.5.a.9;1692
3032;2909505;Cotegipe;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;873
3033;2909604;Cravolândia;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;290
3034;2909703;Crisópolis;Bacia do Rio Grande;Feminino;2000;Entre.5.a.9;1049
3035;2909802;Cristópolis;Recôncavo;Feminino;2000;Entre.5.a.9;689
3036;2909901;Cruz das Almas;Sertão do São Francisco;Feminino;2000;Entre.5.a.9;2512
3037;2910008;Curaçá;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;1636
3038;2910057;Dário Meira;Metropolitano de Salvador;Feminino;2000;Entre.5.a.9;1214
3039;2910107;"Dias d""Ávila";Sertão Produtivo;Feminino;2000;Entre.5.a.9;2519
3040;2910206;Dom Basílio;Recôncavo;Feminino;2000;Entre.5.a.9;464
3041;2910305;Dom Macedo Costa;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;169
3042;2910404;Elísio Medrado;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;372
3043;2910503;Encruzilhada;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;1795
3044;2900504;Entre Rios;Bacia do Paramirim;Feminino;2000;Entre.5.a.9;2301
3045;2910602;Esplanada;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;1711
3046;2910701;Euclides da Cunha;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;2790
3047;2910727;Eunápolis;Costa do Descobrimento;Feminino;2000;Entre.5.a.9;4229
3048;2910750;Fátima;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;1070
3049;2910776;Feira da Mata;Velho Chico;Feminino;2000;Entre.5.a.9;339
3050;2910800;Feira de Santana;Portal do Sertão;Feminino;2000;Entre.5.a.9;23172
3051;2910859;Filadélfia;Piemonte Norte do Itapicuru;Feminino;2000;Entre.5.a.9;1027
3052;2910909;Firmino Alves;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;275
3053;2911006;Floresta Azul;Litoral Sul;Feminino;2000;Entre.5.a.9;586
3054;2911105;Formosa do Rio Preto;Bacia do Rio Grande;Feminino;2000;Entre.5.a.9;1093
3055;2911204;Gandu;Baixo Sul;Feminino;2000;Entre.5.a.9;1424
3056;2911253;Gavião;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;263
3057;2911303;Gentio do Ouro;Irecê;Feminino;2000;Entre.5.a.9;531
3058;2911402;Glória;Itaparica;Feminino;2000;Entre.5.a.9;741
3059;2911501;Gongogi;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;640
3060;2911600;Governador Mangabeira;Recôncavo;Feminino;2000;Entre.5.a.9;870
3061;2911659;Guajeru;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;689
3062;2911709;Guanambi;Sertão Produtivo;Feminino;2000;Entre.5.a.9;3474
3063;2911808;Guaratinga;Costa do Descobrimento;Feminino;2000;Entre.5.a.9;1378
3064;2911857;Heliópolis;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;770
3065;2911907;Iaçu;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;1709
3066;2912004;Ibiassucê;Sertão Produtivo;Feminino;2000;Entre.5.a.9;570
3067;2912103;Ibicaraí;Litoral Sul;Feminino;2000;Entre.5.a.9;1461
3068;2912202;Ibicoara;Chapada Diamantina;Feminino;2000;Entre.5.a.9;1053
3069;2912301;Ibicuí;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;805
3070;2912400;Ibipeba;Irecê;Feminino;2000;Entre.5.a.9;806
3071;2912509;Ibipitanga;Bacia do Paramirim;Feminino;2000;Entre.5.a.9;717
3072;2912608;Ibiquera;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;257
3073;2912707;Ibirapitanga;Baixo Sul;Feminino;2000;Entre.5.a.9;1397
3074;2912806;Ibirapuã;Extremo Sul;Feminino;2000;Entre.5.a.9;352
3075;2912905;Ibirataia;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;1242
3076;2913002;Ibitiara;Chapada Diamantina;Feminino;2000;Entre.5.a.9;781
3077;2913101;Ibititá;Irecê;Feminino;2000;Entre.5.a.9;1004
3078;2913200;Ibotirama;Velho Chico;Feminino;2000;Entre.5.a.9;1353
3079;2913309;Ichu;Sisal;Feminino;2000;Entre.5.a.9;278
3080;2913408;Igaporã;Velho Chico;Feminino;2000;Entre.5.a.9;775
3081;2913457;Igrapiúna;Baixo Sul;Feminino;2000;Entre.5.a.9;1013
3082;2913507;Iguaí;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;1333
3083;2913606;Ilhéus;Litoral Sul;Feminino;2000;Entre.5.a.9;10916
3084;2913705;Inhambupe;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;1742
3085;2913804;Ipecaetá;Portal do Sertão;Feminino;2000;Entre.5.a.9;1100
3086;2913903;Ipiaú;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;2156
3087;2914000;Ipirá;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;3603
3088;2914109;Ipupiara;Irecê;Feminino;2000;Entre.5.a.9;389
3089;2914208;Irajuba;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;317
3090;2914307;Iramaia;Chapada Diamantina;Feminino;2000;Entre.5.a.9;1154
3091;2914406;Iraquara;Chapada Diamantina;Feminino;2000;Entre.5.a.9;1138
3092;2914505;Irará;Portal do Sertão;Feminino;2000;Entre.5.a.9;1551
3093;2914604;Irecê;Irecê;Feminino;2000;Entre.5.a.9;2814
3094;2914653;Itabela;Costa do Descobrimento;Feminino;2000;Entre.5.a.9;1526
3095;2914703;Itaberaba;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;3033
3096;2914802;Itabuna;Litoral Sul;Feminino;2000;Entre.5.a.9;8854
3097;2914901;Itacaré;Litoral Sul;Feminino;2000;Entre.5.a.9;1210
3098;2915007;Itaeté;Chapada Diamantina;Feminino;2000;Entre.5.a.9;843
3099;2915106;Itagi;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;806
3100;2915205;Itagibá;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;958
3101;2915304;Itagimirim;Costa do Descobrimento;Feminino;2000;Entre.5.a.9;405
3102;2915353;Itaguaçu da Bahia;Irecê;Feminino;2000;Entre.5.a.9;745
3103;2915403;Itaju do Colônia;Litoral Sul;Feminino;2000;Entre.5.a.9;524
3104;2915502;Itajuípe;Litoral Sul;Feminino;2000;Entre.5.a.9;1179
3105;2915601;Itamaraju;Extremo Sul;Feminino;2000;Entre.5.a.9;3601
3106;2915700;Itamari;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;483
3107;2915809;Itambé;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;2097
3108;2915908;Itanagra;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;450
3109;2916005;Itanhém;Extremo Sul;Feminino;2000;Entre.5.a.9;1029
3110;2916104;Itaparica;Metropolitano de Salvador;Feminino;2000;Entre.5.a.9;964
3111;2916203;Itapé;Litoral Sul;Feminino;2000;Entre.5.a.9;822
3112;2916302;Itapebi;Costa do Descobrimento;Feminino;2000;Entre.5.a.9;624
3113;2916401;Itapetinga;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;2727
3114;2916500;Itapicuru;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;1632
3115;2916609;Itapitanga;Litoral Sul;Feminino;2000;Entre.5.a.9;569
3116;2916708;Itaquara;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;468
3117;2916807;Itarantim;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;840
3118;2916856;Itatim;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;713
3119;2916906;Itiruçu;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;692
3120;2917003;Itiúba;Sisal;Feminino;2000;Entre.5.a.9;2028
3121;2917102;Itororó;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;979
3122;2917201;Ituaçu;Sertão Produtivo;Feminino;2000;Entre.5.a.9;910
3123;2917300;Ituberá;Baixo Sul;Feminino;2000;Entre.5.a.9;1431
3124;2917334;Iuiú;Sertão Produtivo;Feminino;2000;Entre.5.a.9;582
3125;2917359;Jaborandi;Bacia do Rio Corrente;Feminino;2000;Entre.5.a.9;528
3126;2917409;Jacaraci;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;671
3127;2917508;Jacobina;Piemonte da Diamantina;Feminino;2000;Entre.5.a.9;3988
3128;2917607;Jaguaquara;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;2560
3129;2917706;Jaguarari;Piemonte Norte do Itapicuru;Feminino;2000;Entre.5.a.9;1296
3130;2917805;Jaguaripe;Baixo Sul;Feminino;2000;Entre.5.a.9;814
3131;2917904;Jandaíra;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;668
3132;2918001;Jequié;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;7292
3133;2918100;Jeremoabo;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;2002
3134;2918209;Jiquiriçá;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;706
3135;2918308;Jitaúna;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;1477
3136;2918357;João Dourado;Irecê;Feminino;2000;Entre.5.a.9;1046
3137;2918407;Juazeiro;Sertão do São Francisco;Feminino;2000;Entre.5.a.9;9219
3138;2918456;Jucuruçu;Extremo Sul;Feminino;2000;Entre.5.a.9;756
3139;2918506;Jussara;Irecê;Feminino;2000;Entre.5.a.9;875
3140;2918555;Jussari;Litoral Sul;Feminino;2000;Entre.5.a.9;398
3141;2918605;Jussiape;Chapada Diamantina;Feminino;2000;Entre.5.a.9;386
3142;2918704;Lafaiete Coutinho;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;188
3143;2919058;Lagoa Real;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;724
3144;2918753;Laje;Sertão Produtivo;Feminino;2000;Entre.5.a.9;1042
3145;2918803;Lajedão;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;155
3146;2918902;Lajedinho;Extremo Sul;Feminino;2000;Entre.5.a.9;354
3147;2919009;Lajedo do Tabocal;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;486
3148;2919108;Lamarão;Sisal;Feminino;2000;Entre.5.a.9;498
3149;2919157;Lapão;Irecê;Feminino;2000;Entre.5.a.9;1394
3150;2919207;Lauro de Freitas;Metropolitano de Salvador;Feminino;2000;Entre.5.a.9;5546
3151;2919306;Lençóis;Chapada Diamantina;Feminino;2000;Entre.5.a.9;521
3152;2919405;Licínio de Almeida;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;590
3153;2919504;Livramento de Nossa Senhora;Sertão Produtivo;Feminino;2000;Entre.5.a.9;1926
3154;2919553;;Bacia do Rio Grande;;NA;Entre.5.a.9;NA
3155;2919603;Macajuba;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;667
3156;2919702;Macarani;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;776
3157;2919801;Macaúbas;Bacia do Paramirim;Feminino;2000;Entre.5.a.9;2333
3158;2919900;Macururé;Itaparica;Feminino;2000;Entre.5.a.9;467
3159;2919926;Madre de Deus;Metropolitano de Salvador;Feminino;2000;Entre.5.a.9;539
3160;2919959;Maetinga;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;695
3161;2920007;Maiquinique;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;394
3162;2920106;Mairi;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;1135
3163;2920205;Malhada;Velho Chico;Feminino;2000;Entre.5.a.9;1019
3164;2920304;Malhada de Pedras;Sertão Produtivo;Feminino;2000;Entre.5.a.9;489
3165;2920403;Manoel Vitorino;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;917
3166;2920452;Mansidão;Bacia do Rio Grande;Feminino;2000;Entre.5.a.9;714
3167;2920502;Maracás;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;1611
3168;2920601;Maragogipe;Recôncavo;Feminino;2000;Entre.5.a.9;2038
3169;2920700;Maraú;Litoral Sul;Feminino;2000;Entre.5.a.9;1385
3170;2920809;Marcionílio Souza;Chapada Diamantina;Feminino;2000;Entre.5.a.9;676
3171;2920908;Mascote;Litoral Sul;Feminino;2000;Entre.5.a.9;955
3172;2921005;Mata de São João;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;1627
3173;2921054;Matina;Velho Chico;Feminino;2000;Entre.5.a.9;673
3174;2921104;Medeiros Neto;Extremo Sul;Feminino;2000;Entre.5.a.9;1083
3175;2921203;Miguel Calmon;Piemonte da Diamantina;Feminino;2000;Entre.5.a.9;1539
3176;2921302;Milagres;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;650
3177;2921401;Mirangaba;Piemonte da Diamantina;Feminino;2000;Entre.5.a.9;832
3178;2921450;Mirante;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;776
3179;2921500;Monte Santo;Sisal;Feminino;2000;Entre.5.a.9;3780
3180;2921609;Morpará;Velho Chico;Feminino;2000;Entre.5.a.9;468
3181;2921708;Morro do Chapéu;Chapada Diamantina;Feminino;2000;Entre.5.a.9;2022
3182;2921807;Mortugaba;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;668
3183;2921906;Mucugê;Chapada Diamantina;Feminino;2000;Entre.5.a.9;755
3184;2922003;Mucuri;Extremo Sul;Feminino;2000;Entre.5.a.9;1710
3185;2922052;Mulungu do Morro;Irecê;Feminino;2000;Entre.5.a.9;962
3186;2922102;Mundo Novo;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;1217
3187;2922201;Muniz Ferreira;Recôncavo;Feminino;2000;Entre.5.a.9;327
3188;2922250;Muquém de São Francisco;Velho Chico;Feminino;2000;Entre.5.a.9;590
3189;2922300;Muritiba;Recôncavo;Feminino;2000;Entre.5.a.9;1529
3190;2922409;Mutuípe;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;1043
3191;2922508;Nazaré;Recôncavo;Feminino;2000;Entre.5.a.9;1304
3192;2922607;Nilo Peçanha;Baixo Sul;Feminino;2000;Entre.5.a.9;673
3193;2922656;Nordestina;Sisal;Feminino;2000;Entre.5.a.9;729
3194;2922706;Nova Canaã;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;729
3195;2922730;Nova Fátima;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;386
3196;2922755;Nova Ibiá;Médio Rio de Contas;Feminino;2000;Entre.5.a.9;440
3197;2922805;Nova Itarana;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;419
3198;2922854;Nova Redenção;Chapada Diamantina;Feminino;2000;Entre.5.a.9;462
3199;2922904;Nova Soure;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;1329
3200;2923001;Nova Viçosa;Extremo Sul;Feminino;2000;Entre.5.a.9;1997
3201;2923035;Novo Horizonte;Chapada Diamantina;Feminino;2000;Entre.5.a.9;408
3202;2923050;Novo Triunfo;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;1070
3203;2923100;Olindina;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;1374
3204;2923209;Oliveira dos Brejinhos;Velho Chico;Feminino;2000;Entre.5.a.9;1260
3205;2923308;Ouriçangas;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;481
3206;2923357;Ourolândia;Piemonte da Diamantina;Feminino;2000;Entre.5.a.9;929
3207;2923407;Palmas de Monte Alto;Sertão Produtivo;Feminino;2000;Entre.5.a.9;1146
3208;2923506;Palmeiras;Chapada Diamantina;Feminino;2000;Entre.5.a.9;432
3209;2923605;Paramirim;Bacia do Paramirim;Feminino;2000;Entre.5.a.9;966
3210;2923704;Paratinga;Velho Chico;Feminino;2000;Entre.5.a.9;1853
3211;2923803;Paripiranga;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;1459
3212;2923902;Pau Brasil;Litoral Sul;Feminino;2000;Entre.5.a.9;732
3213;2924009;Paulo Afonso;Itaparica;Feminino;2000;Entre.5.a.9;4570
3214;2924058;Pé de Serra;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;776
3215;2924108;Pedrão;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;371
3216;2924207;Pedro Alexandre;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;1482
3217;2924306;Piatã;Chapada Diamantina;Feminino;2000;Entre.5.a.9;1009
3218;2924405;Pilão Arcado;Sertão do São Francisco;Feminino;2000;Entre.5.a.9;1941
3219;2924504;Pindaí;Sertão Produtivo;Feminino;2000;Entre.5.a.9;870
3220;2924603;Pindobaçu;Piemonte Norte do Itapicuru;Feminino;2000;Entre.5.a.9;1080
3221;2924652;Pintadas;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;584
3222;2924678;Piraí do Norte;Baixo Sul;Feminino;2000;Entre.5.a.9;615
3223;2924702;Piripá;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;1024
3224;2924801;Piritiba;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;1100
3225;2924900;Planaltino;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;437
3226;2925006;Planalto;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;1153
3227;2925105;Poções;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;2370
3228;2925204;Pojuca;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;1346
3229;2925253;Ponto Novo;Piemonte Norte do Itapicuru;Feminino;2000;Entre.5.a.9;1087
3230;2925303;Porto Seguro;Costa do Descobrimento;Feminino;2000;Entre.5.a.9;5298
3231;2925402;Potiraguá;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;973
3232;2925501;Prado;Extremo Sul;Feminino;2000;Entre.5.a.9;1559
3233;2925600;Presidente Dutra;Irecê;Feminino;2000;Entre.5.a.9;692
3234;2925709;Presidente Jânio Quadros;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;804
3235;2925758;Presidente Tancredo Neves;Baixo Sul;Feminino;2000;Entre.5.a.9;1161
3236;2925808;Queimadas;Sisal;Feminino;2000;Entre.5.a.9;1470
3237;2925907;Quijingue;Sisal;Feminino;2000;Entre.5.a.9;1546
3238;2925931;Quixabeira;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;477
3239;2925956;Rafael Jambeiro;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;1313
3240;2926004;Remanso;Sertão do São Francisco;Feminino;2000;Entre.5.a.9;1873
3241;2926103;Retirolândia;Sisal;Feminino;2000;Entre.5.a.9;501
3242;2926202;Riachão das Neves;Bacia do Rio Grande;Feminino;2000;Entre.5.a.9;1371
3243;2926301;Riachão do Jacuípe;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;1520
3244;2926400;Riacho de Santana;Velho Chico;Feminino;2000;Entre.5.a.9;1597
3245;2926509;Ribeira do Amparo;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;965
3246;2926608;Ribeira do Pombal;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;2546
3247;2926657;Ribeirão do Largo;Sudoeste Baiano;Feminino;2000;Entre.5.a.9;880
3248;2926707;Rio de Contas;Chapada Diamantina;Feminino;2000;Entre.5.a.9;647
3249;2926806;Rio do Antônio;Sertão Produtivo;Feminino;2000;Entre.5.a.9;748
3250;2926905;Rio do Pires;Bacia do Paramirim;Feminino;2000;Entre.5.a.9;621
3251;2927002;Rio Real;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;2024
3252;2927101;Rodelas;Itaparica;Feminino;2000;Entre.5.a.9;299
3253;2927200;Ruy Barbosa;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;1515
3254;2927309;Salinas da Margarida;Metropolitano de Salvador;Feminino;2000;Entre.5.a.9;568
3255;2927408;Salvador;Metropolitano de Salvador;Feminino;2000;Entre.5.a.9;101547
3256;2927507;Santa Bárbara;Portal do Sertão;Feminino;2000;Entre.5.a.9;913
3257;2927606;Santa Brígida;Semiárido Nordeste II;Feminino;2000;Entre.5.a.9;1136
3258;2927705;Santa Cruz Cabrália;Costa do Descobrimento;Feminino;2000;Entre.5.a.9;1425
3259;2927804;Santa Cruz da Vitória;Médio Sudoeste da Bahia;Feminino;2000;Entre.5.a.9;326
3260;2927903;Santa Inês;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;549
3261;2928059;Santaluz;Litoral Sul;Feminino;2000;Entre.5.a.9;1801
3262;2928109;Santa Luzia;Bacia do Rio Corrente;Feminino;2000;Entre.5.a.9;1044
3263;2928406;Santa Maria da Vitória;Bacia do Rio Grande;Feminino;2000;Entre.5.a.9;2363
3264;2928505;Santana;Piemonte do Paraguaçu;Feminino;2000;Entre.5.a.9;1314
3265;2928000;Santanópolis;Sisal;Feminino;2000;Entre.5.a.9;421
3266;2928208;Santa Rita de Cássia;Bacia do Rio Corrente;Feminino;2000;Entre.5.a.9;1404
3267;2928307;Santa Teresinha;Portal do Sertão;Feminino;2000;Entre.5.a.9;479
3268;2928604;Santo Amaro;Recôncavo;Feminino;2000;Entre.5.a.9;2668
3269;2928703;Santo Antônio de Jesus;Recôncavo;Feminino;2000;Entre.5.a.9;3610
3270;2928802;Santo Estêvão;Portal do Sertão;Feminino;2000;Entre.5.a.9;2332
3271;2928901;São Desidério;Bacia do Rio Grande;Feminino;2000;Entre.5.a.9;1193
3272;2928950;São Domingos;Sisal;Feminino;2000;Entre.5.a.9;310
3273;2929107;São Félix;Recôncavo;Feminino;2000;Entre.5.a.9;686
3274;2929008;São Félix do Coribe;Recôncavo;Feminino;2000;Entre.5.a.9;644
3275;2929057;São Felipe;Bacia do Rio Corrente;Feminino;2000;Entre.5.a.9;987
3276;2929206;São Francisco do Conde;Recôncavo;Feminino;2000;Entre.5.a.9;1359
3277;2929255;São Gabriel;Irecê;Feminino;2000;Entre.5.a.9;1202
3278;2929305;São Gonçalo dos Campos;Portal do Sertão;Feminino;2000;Entre.5.a.9;1339
3279;2929354;São José da Vitória;Litoral Sul;Feminino;2000;Entre.5.a.9;384
3280;2929370;São José do Jacuípe;Bacia do Jacuípe;Feminino;2000;Entre.5.a.9;533
3281;2929404;São Miguel das Matas;Vale do Jiquiriçá;Feminino;2000;Entre.5.a.9;518
3282;2929503;São Sebastião do Passé;Recôncavo;Feminino;2000;Entre.5.a.9;1899
3283;2929602;Sapeaçu;Recôncavo;Feminino;2000;Entre.5.a.9;800
3284;2929701;Sátiro Dias;Litoral Norte e Agreste Baiano;Feminino;2000;Entre.5.a.9;969
3285;2929750;Saubara;Recôncavo;Feminino;2000;Entre.5.a.9;442
3286;2929800;Saúde;Piemonte da Diamantina;Feminino;2000;Entre.5.a.9;556
3287;2929909;Seabra;Chapada Diamantina;Feminino;2000;Entre.5.a.9;2103
3288;2930006;Sebastião Laranjeiras;Sertão Produtivo;Feminino;2000;Entre.5.a.9;601
3289;2930105;Senhor do Bonfim;Piemonte Norte do Itapicuru;Feminino;2000;Entre.5.a.9;3283
