codigo_municipio;Territorios.de.Identidade;Ano;faixa_etarias;total_faixa;sexo_num
2923100;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1474;1
2923209;Velho Chico;2000;Entre.0.a.4;-1215;1
2923308;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-339;1
2923357;Piemonte da Diamantina;2000;Entre.0.a.4;-882;1
2923407;Sertão Produtivo;2000;Entre.0.a.4;-971;1
2923506;Chapada Diamantina;2000;Entre.0.a.4;-480;1
2923605;Bacia do Paramirim;2000;Entre.0.a.4;-663;1
2923704;Velho Chico;2000;Entre.0.a.4;-1483;1
2923803;Semiárido Nordeste II;2000;Entre.0.a.4;-1451;1
2923902;Litoral Sul;2000;Entre.0.a.4;-719;1
2924009;Itaparica;2000;Entre.0.a.4;-4875;1
2924058;Bacia do Jacuípe;2000;Entre.0.a.4;-683;1
2924108;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-339;1
2924207;Semiárido Nordeste II;2000;Entre.0.a.4;-1019;1
2924306;Chapada Diamantina;2000;Entre.0.a.4;-980;1
2924405;Sertão do São Francisco;2000;Entre.0.a.4;-1884;1
2924504;Sertão Produtivo;2000;Entre.0.a.4;-721;1
2924603;Piemonte Norte do Itapicuru;2000;Entre.0.a.4;-1132;1
2924652;Bacia do Jacuípe;2000;Entre.0.a.4;-590;1
2924678;Baixo Sul;2000;Entre.0.a.4;-690;1
2924702;Vitória da Conquista;2000;Entre.0.a.4;-839;1
2924801;Piemonte do Paraguaçu;2000;Entre.0.a.4;-1023;1
2924900;Vale do Jiquiriçá;2000;Entre.0.a.4;-395;1
2925006;Vitória da Conquista;2000;Entre.0.a.4;-1159;1
2925105;Vitória da Conquista;2000;Entre.0.a.4;-2335;1
2925204;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1231;1
2925253;Piemonte Norte do Itapicuru;2000;Entre.0.a.4;-1003;1
2925303;Costa do Descobrimento;2000;Entre.0.a.4;-6577;1
2925402;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-805;1
2925501;Extremo Sul;2000;Entre.0.a.4;-1700;1
2925600;Irecê;2000;Entre.0.a.4;-683;1
2925709;Vitória da Conquista;2000;Entre.0.a.4;-796;1
2925758;Baixo Sul;2000;Entre.0.a.4;-1107;1
2925808;Sisal;2000;Entre.0.a.4;-1371;1
2925907;Sisal;2000;Entre.0.a.4;-1531;1
2925931;Bacia do Jacuípe;2000;Entre.0.a.4;-515;1
2925956;Piemonte do Paraguaçu;2000;Entre.0.a.4;-1171;1
2926004;Sertão do São Francisco;2000;Entre.0.a.4;-1902;1
2926103;Sisal;2000;Entre.0.a.4;-512;1
2926202;Bacia do Rio Grande;2000;Entre.0.a.4;-1241;1
2926301;Bacia do Jacuípe;2000;Entre.0.a.4;-1427;1
2926400;Velho Chico;2000;Entre.0.a.4;-1476;1
2926509;Semiárido Nordeste II;2000;Entre.0.a.4;-769;1
2926608;Semiárido Nordeste II;2000;Entre.0.a.4;-2622;1
2926657;Vitória da Conquista;2000;Entre.0.a.4;-829;1
2926707;Chapada Diamantina;2000;Entre.0.a.4;-578;1
2926806;Sertão Produtivo;2000;Entre.0.a.4;-699;1
2926905;Bacia do Paramirim;2000;Entre.0.a.4;-493;1
2927002;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1987;1
2927101;Itaparica;2000;Entre.0.a.4;-372;1
2927200;Piemonte do Paraguaçu;2000;Entre.0.a.4;-1541;1
2927309;Metropolitano de Salvador;2000;Entre.0.a.4;-525;1
2927408;Metropolitano de Salvador;2000;Entre.0.a.4;-106547;1
2927507;Portal do Sertão;2000;Entre.0.a.4;-964;1
2927606;Semiárido Nordeste II;2000;Entre.0.a.4;-923;1
2927705;Costa do Descobrimento;2000;Entre.0.a.4;-1560;1
2927804;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-333;1
2927903;Vale do Jiquiriçá;2000;Entre.0.a.4;-549;1
2928059;Litoral Sul;2000;Entre.0.a.4;-1529;1
2928109;Bacia do Rio Corrente;2000;Entre.0.a.4;-982;1
2928406;Bacia do Rio Grande;2000;Entre.0.a.4;-2217;1
2928505;Piemonte do Paraguaçu;2000;Entre.0.a.4;-1304;1
2928000;Sisal;2000;Entre.0.a.4;-411;1
2928208;Bacia do Rio Corrente;2000;Entre.0.a.4;-1405;1
2928307;Portal do Sertão;2000;Entre.0.a.4;-455;1
2928604;Recôncavo;2000;Entre.0.a.4;-2827;1
2928703;Recôncavo;2000;Entre.0.a.4;-3593;1
2928802;Portal do Sertão;2000;Entre.0.a.4;-2291;1
2928901;Bacia do Rio Grande;2000;Entre.0.a.4;-1197;1
2928950;Sisal;2000;Entre.0.a.4;-336;1
2929107;Recôncavo;2000;Entre.0.a.4;-642;1
2929008;Recôncavo;2000;Entre.0.a.4;-594;1
2929057;Bacia do Rio Corrente;2000;Entre.0.a.4;-915;1
2929206;Recôncavo;2000;Entre.0.a.4;-1509;1
2929255;Irecê;2000;Entre.0.a.4;-1054;1
2929305;Portal do Sertão;2000;Entre.0.a.4;-1353;1
2929354;Litoral Sul;2000;Entre.0.a.4;-381;1
2929370;Bacia do Jacuípe;2000;Entre.0.a.4;-419;1
2929404;Vale do Jiquiriçá;2000;Entre.0.a.4;-502;1
2929503;Recôncavo;2000;Entre.0.a.4;-2060;1
2929602;Recôncavo;2000;Entre.0.a.4;-720;1
2929701;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1016;1
2929750;Recôncavo;2000;Entre.0.a.4;-478;1
2929800;Piemonte da Diamantina;2000;Entre.0.a.4;-585;1
2929909;Chapada Diamantina;2000;Entre.0.a.4;-2345;1
2930006;Sertão Produtivo;2000;Entre.0.a.4;-478;1
2930105;Piemonte Norte do Itapicuru;2000;Entre.0.a.4;-3372;1
2930204;Sertão do São Francisco;2000;Entre.0.a.4;-2048;1
2930154;Velho Chico;2000;Entre.0.a.4;-2043;1
2930303;Bacia do Rio Corrente;2000;Entre.0.a.4;-908;1
2930402;Bacia do Jacuípe;2000;Entre.0.a.4;-823;1
2930501;Sisal;2000;Entre.0.a.4;-4524;1
2930600;Piemonte da Diamantina;2000;Entre.0.a.4;-563;1
2930709;Metropolitano de Salvador;2000;Entre.0.a.4;-5339;1
2930758;Velho Chico;2000;Entre.0.a.4;-755;1
2930766;Semiárido Nordeste II;2000;Entre.0.a.4;-887;1
2930774;Sertão do São Francisco;2000;Entre.0.a.4;-1144;1
2930808;Chapada Diamantina;2000;Entre.0.a.4;-929;1
2930907;Bacia do Rio Corrente;2000;Entre.0.a.4;-709;1
2931004;Sertão Produtivo;2000;Entre.0.a.4;-803;1
2931053;Bacia do Paramirim;2000;Entre.0.a.4;-856;1
2931103;Portal do Sertão;2000;Entre.0.a.4;-340;1
2931202;Baixo Sul;2000;Entre.0.a.4;-964;1
2931301;Piemonte do Paraguaçu;2000;Entre.0.a.4;-1063;1
2931350;Extremo Sul;2000;Entre.0.a.4;-5700;1
2931400;Portal do Sertão;2000;Entre.0.a.4;-432;1
2931509;Sisal;2000;Entre.0.a.4;-1313;1
2931608;Baixo Sul;2000;Entre.0.a.4;-917;1
2931707;Portal do Sertão;2000;Entre.0.a.4;-693;1
2931806;Vitória da Conquista;2000;Entre.0.a.4;-940;1
2931905;Sisal;2000;Entre.0.a.4;-2695;1
2932002;Sertão do São Francisco;2000;Entre.0.a.4;-1208;1
2932101;Vale do Jiquiriçá;2000;Entre.0.a.4;-1007;1
2932200;Litoral Sul;2000;Entre.0.a.4;-1236;1
2932309;Médio Rio de Contas;2000;Entre.0.a.4;-1095;1
2932408;Irecê;2000;Entre.0.a.4;-650;1
2932457;Piemonte da Diamantina;2000;Entre.0.a.4;-801;1
2932507;Litoral Sul;2000;Entre.0.a.4;-1769;1
2932606;Sertão Produtivo;2000;Entre.0.a.4;-801;1
2932705;Litoral Sul;2000;Entre.0.a.4;-985;1
2932804;Chapada Diamantina;2000;Entre.0.a.4;-1108;1
2932903;Baixo Sul;2000;Entre.0.a.4;-4087;1
2933000;Sisal;2000;Entre.0.a.4;-891;1
2933059;Bacia do Jacuípe;2000;Entre.0.a.4;-728;1
2933109;Bacia do Jacuípe;2000;Entre.0.a.4;-320;1
2933158;Piemonte da Diamantina;2000;Entre.0.a.4;-787;1
2933174;Recôncavo;2000;Entre.0.a.4;-402;1
2933208;Metropolitano de Salvador;2000;Entre.0.a.4;-1714;1
2933257;Extremo Sul;2000;Entre.0.a.4;-426;1
2933307;Vitória da Conquista;2000;Entre.0.a.4;-12937;1
2933406;Chapada Diamantina;2000;Entre.0.a.4;-483;1
2933455;Bacia do Rio Grande;2000;Entre.0.a.4;-668;1
2933505;Baixo Sul;2000;Entre.0.a.4;-1439;1
2933604;Irecê;2000;Entre.0.a.4;-2920;1
2900108;Chapada Diamantina;2000;Entre.0.a.4;268;0
2900207;Itaparica;2000;Entre.0.a.4;849;0
2900306;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;809;0
2900355;Semiárido Nordeste II;2000;Entre.0.a.4;822;0
2900405;Portal do Sertão;2000;Entre.0.a.4;908;0
