CodigodoMunicipio; Municipios;TerritoriosdeIdentidade;Ano;Branca;Preta;Amarela;Parda;Indigena;Ignorado
2922409;Mutuípe;Vale do Jiquiriçá;1991;19;14,1;0,5;66,3;;0,1
2922508;Nazaré;Recôncavo;1991;10,7;17,9;;71,2;;0,1
2922607;Nilo Peçanha;Baixo Sul;1991;4,9;12,2;;82,4;;0,4
2922656;Nordestina;Sisal;1991;17,5;1,6;;80,8;;0,2
2922706;Nova Canaã;Médio Sudoeste da Bahia;1991;29,5;6,4;;63,4;0,1;0,6
2922730;Nova Fátima;Bacia do Jacuípe;1991;17,8;2;0,2;77,4;;2,7
2922755;Nova Ibiá;Médio Rio de Contas;1991;15,6;9,8;0,1;74;0;0,5
2922805;Nova Itarana;Vale do Jiquiriçá;1991;9,6;4;;86,2;;0,2
2922854;Nova Redenção;Chapada Diamantina;1991;9,6;11,4;;78;;0,9
2922904;Nova Soure;Semiárido Nordeste II;1991;17,9;8,4;;73,4;;0,4
2923001;Nova Viçosa;Extremo Sul;1991;19,7;13,2;;66,8;0;0,3
2923035;Novo Horizonte;Chapada Diamantina;1991;23,6;4,9;;71,4;;0,1
2923050;Novo Triunfo;Semiárido Nordeste II;1991;30,6;8,5;;60,8;;0,2
2923100;Olindina;Litoral Norte e Agreste Baiano;1991;16,6;3,3;;80,1;;
2923209;Oliveira dos Brejinhos;Velho Chico;1991;16,8;8,6;;74,6;0,1;
2923308;Ouriçangas;Litoral Norte e Agreste Baiano;1991;2;56,4;;41;;0,5
2923357;Ourolândia;Piemonte da Diamantina;1991;9,3;6,3;0,3;83;;1,1
2923407;Palmas de Monte Alto;Sertão Produtivo;1991;28,4;15,1;0;56,4;;
2923506;Palmeiras;Chapada Diamantina;1991;16;9,8;;74,2;;
2923605;Paramirim;Bacia do Paramirim;1991;49;15,5;;35,1;0;0,4
2923704;Paratinga;Velho Chico;1991;6,9;8;0;84,3;;0,7
2923803;Paripiranga;Semiárido Nordeste II;1991;49,7;2;;47,9;;0,4
2923902;Pau Brasil;Litoral Sul;1991;15,7;8,5;0,3;72,4;2,7;0,3
2924009;Paulo Afonso;Itaparica;1991;31,1;2,1;;66,6;0;0,1
2924058;Pé de Serra;Bacia do Jacuípe;1991;39,3;8,1;;52,6;;0,1
2924108;Pedrão;Litoral Norte e Agreste Baiano;1991;3,5;31,7;;64,6;0,1;0,1
2924207;Pedro Alexandre;Semiárido Nordeste II;1991;17,4;1,6;0;79,9;0;1
2924306;Piatã;Chapada Diamantina;1991;11,2;9,3;;79,1;;0,4
2924405;Pilão Arcado;Sertão do São Francisco;1991;8,1;4;0;87,2;0;0,7
2924504;Pindaí;Sertão Produtivo;1991;22,5;6;;69,6;;1,9
2924603;Pindobaçu;Piemonte Norte do Itapicuru;1991;8,5;3,9;0,3;86,8;0,1;0,5
2924652;Pintadas;Bacia do Jacuípe;1991;10,2;8,5;0,1;80,5;0,1;0,5
2924678;Piraí do Norte;Baixo Sul;1991;12;15,1;;72,3;0,1;0,4
2924702;Piripá;Sudoeste Baiano;1991;7,5;1,3;0,1;90,8;;0,3
2924801;Piritiba;Piemonte do Paraguaçu;1991;12,7;9,4;0;77,7;;0,2
2924900;Planaltino;Vale do Jiquiriçá;1991;18;7,3;;74,3;0;0,3
2925006;Planalto;Sudoeste Baiano;1991;49,7;9,8;;39,9;;0,6
2925105;Poções;Sudoeste Baiano;1991;32,1;7,1;0;60,3;0;0,4
2925204;Pojuca;Metropolitano de Salvador;1991;9,3;12,5;0,2;77,9;;0,1
2925253;Ponto Novo;Piemonte Norte do Itapicuru;1991;20;5,5;0;74;;0,5
2925303;Porto Seguro;Costa do Descobrimento;1991;22,3;7,1;0,2;62,9;6,7;0,7
2925402;Potiraguá;Médio Sudoeste da Bahia;1991;19,4;15,6;;64,6;;0,4
2925501;Prado;Extremo Sul;1991;12,5;12,1;0,1;74,8;0,3;0,3
