"";"Codigo.do.Municipio";"Municipios";"Territorios.de.Identidade";"Ano";"Cor";"PercentCor"
"110";2909208;"Coronel João Sá";"Semiárido Nordeste II";1991;"Branca";16,6
"111";2909307;"Correntina";"Bacia do Rio Corrente";1991;"Branca";24,2
"112";2909406;"Cotegipe";"Bacia do Rio Grande";1991;"Branca";19,7
"113";2909505;"Cravolândia";"Vale do Jiquiriçá";1991;"Branca";16
"114";2909604;"Crisópolis";"Litoral Norte e Agreste Baiano";1991;"Branca";15,6
"115";2909703;"Cristópolis";"Bacia do Rio Grande";1991;"Branca";16,2
"116";2909802;"Cruz das Almas";"Recôncavo";1991;"Branca";12,4
"117";2909901;"Curaçá";"Sertão do São Francisco";1991;"Branca";12
"118";2910008;"Dário Meira";"Médio Rio de Contas";1991;"Branca";17,2
"119";2910057;"Dias D'Ávila";"Metropolitano de Salvador";1991;"Branca";15,3
"120";2910107;"Dom Basílio";"Sertão Produtivo";1991;"Branca";30,5
"121";2910206;"Dom Macedo Costa";"Recôncavo";1991;"Branca";15,4
"122";2910305;"Elísio Medrado";"Vale do Jiquiriçá";1991;"Branca";28,7
"123";2910404;"Encruzilhada";"Sudoeste Baiano";1991;"Branca";22
"124";2910503;"Entre Rios";"Litoral Norte e Agreste Baiano";1991;"Branca";8,6
"125";2900504;"Érico Cardoso";"Bacia do Paramirim";1991;"Branca";37,2
"126";2910602;"Esplanada";"Litoral Norte e Agreste Baiano";1991;"Branca";14,8
"127";2910701;"Euclides da Cunha";"Semiárido Nordeste II";1991;"Branca";19
"128";2910727;"Eunápolis";"Costa do Descobrimento";1991;"Branca";22,4
"129";2910750;"Fátima";"Semiárido Nordeste II";1991;"Branca";41,9
"130";2910776;"Feira da Mata";"Velho Chico";1991;"Branca";51,9
"131";2910800;"Feira de Santana";"Portal do Sertão";1991;"Branca";17,7
"132";2910859;"Filadélfia";"Piemonte Norte do Itapicuru";1991;"Branca";6,4
"133";2910909;"Firmino Alves";"Médio Sudoeste da Bahia";1991;"Branca";29
"134";2911006;"Floresta Azul";"Litoral Sul";1991;"Branca";18,4
"135";2911105;"Formosa do Rio Preto";"Bacia do Rio Grande";1991;"Branca";21,1
"136";2911204;"Gandu";"Baixo Sul";1991;"Branca";20,2
"137";2911253;"Gavião";"Bacia do Jacuípe";1991;"Branca";24
"138";2911303;"Gentio do Ouro";"Irecê";1991;"Branca";22,4
"139";2911402;"Glória";"Itaparica";1991;"Branca";35,1
"140";2911501;"Gongogi";"Médio Rio de Contas";1991;"Branca";6,6
"141";2911600;"Governador Mangabeira";"Recôncavo";1991;"Branca";6,3
"142";2911659;"Guajeru";"Sudoeste Baiano";1991;"Branca";25,8
"143";2911709;"Guanambi";"Sertão Produtivo";1991;"Branca";42,7
"144";2911808;"Guaratinga";"Costa do Descobrimento";1991;"Branca";20,9
"145";2911857;"Heliópolis";"Semiárido Nordeste II";1991;"Branca";33,3
"146";2911907;"Iaçu";"Piemonte do Paraguaçu";1991;"Branca";15
"147";2912004;"Ibiassucê";"Sertão Produtivo";1991;"Branca";39,2
"148";2912103;"Ibicaraí";"Litoral Sul";1991;"Branca";12,5
"149";2912202;"Ibicoara";"Chapada Diamantina";1991;"Branca";29,1
"150";2912301;"Ibicuí";"Médio Sudoeste da Bahia";1991;"Branca";27,7
"151";2912400;"Ibipeba";"Irecê";1991;"Branca";14,7
"152";2912509;"Ibipitanga";"Bacia do Paramirim";1991;"Branca";46,9
"153";2912608;"Ibiquera";"Piemonte do Paraguaçu";1991;"Branca";4,5
"154";2912707;"Ibirapitanga";"Baixo Sul";1991;"Branca";8,8
"155";2912806;"Ibirapoã";"Extremo Sul";1991;"Branca";19,6
"156";2912905;"Ibirataia";"Médio Rio de Contas";1991;"Branca";13,4
"157";2913002;"Ibitiara";"Chapada Diamantina";1991;"Branca";10,8
"158";2913101;"Ibititá";"Irecê";1991;"Branca";32,9
"159";2913200;"Ibotirama";"Velho Chico";1991;"Branca";13,9
"160";2913309;"Ichu";"Sisal";1991;"Branca";30,1
"161";2913408;"Igaporã";"Velho Chico";1991;"Branca";58,3
"162";2913457;"Igrapiúna";"Baixo Sul";1991;"Branca";1,4
"163";2913507;"Iguaí";"Médio Sudoeste da Bahia";1991;"Branca";30,6
"164";2913606;"Ilhéus";"Litoral Sul";1991;"Branca";14,7
"165";2913705;"Inhambupe";"Litoral Norte e Agreste Baiano";1991;"Branca";7,5
"166";2913804;"Ipecaetá";"Portal do Sertão";1991;"Branca";19,6
"167";2913903;"Ipiaú";"Médio Rio de Contas";1991;"Branca";15
"168";2914000;"Ipirá";"Bacia do Jacuípe";1991;"Branca";19,3
"169";2914109;"Ipupiara";"Irecê";1991;"Branca";55,8
"170";2914208;"Irajuba";"Vale do Jiquiriçá";1991;"Branca";19,9
"171";2914307;"Iramaia";"Chapada Diamantina";1991;"Branca";8,5
"172";2914406;"Iraquara";"Chapada Diamantina";1991;"Branca";24,2
"173";2914505;"Irará";"Portal do Sertão";1991;"Branca";6
"174";2914604;"Irecê";"Irecê";1991;"Branca";26,6
"175";2914653;"Itabela";"Costa do Descobrimento";1991;"Branca";18,3
"176";2914703;"Itaberaba";"Piemonte do Paraguaçu";1991;"Branca";15,8
"177";2914802;"Itabuna";"Litoral Sul";1991;"Branca";17,2
"178";2914901;"Itacaré";"Litoral Sul";1991;"Branca";5,5
"179";2915007;"Itaeté";"Chapada Diamantina";1991;"Branca";8
"180";2915106;"Itagi";"Médio Rio de Contas";1991;"Branca";16,5
"181";2915205;"Itagibá";"Médio Rio de Contas";1991;"Branca";16,4
"182";2915304;"Itagimirim";"Costa do Descobrimento";1991;"Branca";16,1
"183";2915353;"Itaguaçu da Bahia";"Irecê";1991;"Branca";21,7
"184";2915403;"Itaju do Colônia";"Litoral Sul";1991;"Branca";20,7
"185";2915502;"Itajuípe";"Litoral Sul";1991;"Branca";13,3
"186";2915601;"Itamaraju";"Extremo Sul";1991;"Branca";14,8
"187";2915700;"Itamari";"Médio Rio de Contas";1991;"Branca";15,5
"188";2915809;"Itambé";"Médio Sudoeste da Bahia";1991;"Branca";25,2
"189";2915908;"Itanagra";"Litoral Norte e Agreste Baiano";1991;"Branca";2,8
"190";2916005;"Itanhém";"Extremo Sul";1991;"Branca";19,8
"191";2916104;"Itaparica";"Metropolitano de Salvador";1991;"Branca";9
"192";2916203;"Itapé";"Litoral Sul";1991;"Branca";10,5
"193";2916302;"Itapebi";"Costa do Descobrimento";1991;"Branca";14,4
"194";2916401;"Itapetinga";"Médio Sudoeste da Bahia";1991;"Branca";27
"195";2916500;"Itapicuru";"Litoral Norte e Agreste Baiano";1991;"Branca";6,3
"196";2916609;"Itapitanga";"Litoral Sul";1991;"Branca";12,4
"197";2916708;"Itaquara";"Vale do Jiquiriçá";1991;"Branca";19,3
"198";2916807;"Itarantim";"Médio Sudoeste da Bahia";1991;"Branca";28
"199";2916856;"Itatim";"Piemonte do Paraguaçu";1991;"Branca";14,1
"200";2916906;"Itiruçu";"Vale do Jiquiriçá";1991;"Branca";22,8
"201";2917003;"Itiúba";"Sisal";1991;"Branca";11,9
"202";2917102;"Itororó";"Médio Sudoeste da Bahia";1991;"Branca";16,6
"203";2917201;"Ituaçu";"Sertão Produtivo";1991;"Branca";50
"204";2917300;"Ituberá";"Baixo Sul";1991;"Branca";11,4
"205";2917334;"Iuiu";"Sertão Produtivo";1991;"Branca";18,2
"206";2917359;"Jaborandi";"Bacia do Rio Corrente";1991;"Branca";0,3
"207";2917409;"Jacaraci";"Sudoeste Baiano";1991;"Branca";56,3
"208";2917508;"Jacobina";"Piemonte da Diamantina";1991;"Branca";16,9
"209";2917607;"Jaguaquara";"Vale do Jiquiriçá";1991;"Branca";25,5
"210";2917706;"Jaguarari";"Piemonte Norte do Itapicuru";1991;"Branca";20,3
"211";2917805;"Jaguaripe";"Baixo Sul";1991;"Branca";9,5
"212";2917904;"Jandaíra";"Litoral Norte e Agreste Baiano";1991;"Branca";5,9
"213";2918001;"Jequié";"Médio Rio de Contas";1991;"Branca";20,9
"214";2918100;"Jeremoabo";"Semiárido Nordeste II";1991;"Branca";21,1
"215";2918209;"Jiquiriçá";"Vale do Jiquiriçá";1991;"Branca";14,2
"216";2918308;"Jitaúna";"Médio Rio de Contas";1991;"Branca";17,9
"217";2918357;"João Dourado";"Irecê";1991;"Branca";22,6
"218";2918407;"Juazeiro";"Sertão do São Francisco";1991;"Branca";22,2
"219";2918456;"Jucuruçu";"Extremo Sul";1991;"Branca";11,4
"220";2918506;"Jussara";"Irecê";1991;"Branca";19,4
"221";2918555;"Jussari";"Litoral Sul";1991;"Branca";6,3
"222";2918605;"Jussiape";"Chapada Diamantina";1991;"Branca";52,5
"223";2918704;"Lafayette Coutinho";"Vale do Jiquiriçá";1991;"Branca";36,1
"224";2919058;"Lagedo do Tabocal";"Vale do Jiquiriçá";1991;"Branca";5,1
"225";2918753;"Lagoa Real";"Sertão Produtivo";1991;"Branca";72,7
"226";2918803;"Laje";"Vale do Jiquiriçá";1991;"Branca";23,7
"227";2918902;"Lajedão";"Extremo Sul";1991;"Branca";24
"228";2919009;"Lajedinho";"Piemonte do Paraguaçu";1991;"Branca";2,4
"229";2919108;"Lamarão";"Sisal";1991;"Branca";11,1
"230";2919157;"Lapão";"Irecê";1991;"Branca";19,1
"231";2919207;"Lauro de Freitas";"Metropolitano de Salvador";1991;"Branca";14,7
"232";2919306;"Lençóis";"Chapada Diamantina";1991;"Branca";10,8
"233";2919405;"Licínio de Almeida";"Sudoeste Baiano";1991;"Branca";40,1
"234";2919504;"Livramento de N. Senhora";"Sertão Produtivo";1991;"Branca";46,7
"235";2919553;"Luís Eduardo Magalhães";"Bacia do Rio Grande";1991;"Branca";NA
"236";2919603;"Macajuba";"Piemonte do Paraguaçu";1991;"Branca";21,4
"237";2919702;"Macarani";"Médio Sudoeste da Bahia";1991;"Branca";32,8
"238";2919801;"Macaúbas";"Bacia do Paramirim";1991;"Branca";40,5
"239";2919900;"Macururé";"Itaparica";1991;"Branca";8,2
"240";2919926;"Madre de Deus";"Metropolitano de Salvador";1991;"Branca";12,4
"241";2919959;"Maetinga";"Sudoeste Baiano";1991;"Branca";34,2
"242";2920007;"Maiquinique";"Médio Sudoeste da Bahia";1991;"Branca";40,4
"243";2920106;"Mairi";"Bacia do Jacuípe";1991;"Branca";27,3
"244";2920205;"Malhada";"Velho Chico";1991;"Branca";12,2
"245";2920304;"Malhada de Pedras";"Sertão Produtivo";1991;"Branca";34,9
"246";2920403;"Manoel Vitorino";"Médio Rio de Contas";1991;"Branca";39,3
"247";2920452;"Mansidão";"Bacia do Rio Grande";1991;"Branca";3,9
"248";2920502;"Maracás";"Vale do Jiquiriçá";1991;"Branca";20,2
"249";2920601;"Maragogipe";"Recôncavo";1991;"Branca";12,4
"250";2920700;"Maraú";"Litoral Sul";1991;"Branca";9
"251";2920809;"Marcionílio Souza";"Chapada Diamantina";1991;"Branca";17,4
"252";2920908;"Mascote";"Litoral Sul";1991;"Branca";5,6
"253";2921005;"Mata de São João";"Metropolitano de Salvador";1991;"Branca";6,8
"254";2921054;"Matina";"Velho Chico";1991;"Branca";32,4
"255";2921104;"Medeiros Neto";"Extremo Sul";1991;"Branca";25,7
"256";2921203;"Miguel Calmon";"Piemonte da Diamantina";1991;"Branca";17,5
"257";2921302;"Milagres";"Vale do Jiquiriçá";1991;"Branca";28,1
"258";2921401;"Mirangaba";"Piemonte da Diamantina";1991;"Branca";13,4
"259";2921450;"Mirante";"Sudoeste Baiano";1991;"Branca";31,1
"260";2921500;"Monte Santo";"Sisal";1991;"Branca";28
"261";2921609;"Morpará";"Velho Chico";1991;"Branca";23
"262";2921708;"Morro do Chapéu";"Chapada Diamantina";1991;"Branca";20,4
"263";2921807;"Mortugaba";"Sudoeste Baiano";1991;"Branca";21
"264";2921906;"Mucugê";"Chapada Diamantina";1991;"Branca";11,3
"265";2922003;"Mucuri";"Extremo Sul";1991;"Branca";13,5
"266";2922052;"Mulungu do Morro";"Irecê";1991;"Branca";12,2
"267";2922102;"Mundo Novo";"Piemonte do Paraguaçu";1991;"Branca";17,4
"268";2922201;"Muniz Ferreira";"Recôncavo";1991;"Branca";14,4
"269";2922250;"Muquém do São Francisco";"Velho Chico";1991;"Branca";15
"270";2922300;"Muritiba";"Recôncavo";1991;"Branca";14,5
"271";2922409;"Mutuípe";"Vale do Jiquiriçá";1991;"Branca";19
"272";2922508;"Nazaré";"Recôncavo";1991;"Branca";10,7
"273";2922607;"Nilo Peçanha";"Baixo Sul";1991;"Branca";4,9
"274";2922656;"Nordestina";"Sisal";1991;"Branca";17,5
"275";2922706;"Nova Canaã";"Médio Sudoeste da Bahia";1991;"Branca";29,5
"276";2922730;"Nova Fátima";"Bacia do Jacuípe";1991;"Branca";17,8
"277";2922755;"Nova Ibiá";"Médio Rio de Contas";1991;"Branca";15,6
"278";2922805;"Nova Itarana";"Vale do Jiquiriçá";1991;"Branca";9,6
"279";2922854;"Nova Redenção";"Chapada Diamantina";1991;"Branca";9,6
"280";2922904;"Nova Soure";"Semiárido Nordeste II";1991;"Branca";17,9
"281";2923001;"Nova Viçosa";"Extremo Sul";1991;"Branca";19,7
"282";2923035;"Novo Horizonte";"Chapada Diamantina";1991;"Branca";23,6
"283";2923050;"Novo Triunfo";"Semiárido Nordeste II";1991;"Branca";30,6
"284";2923100;"Olindina";"Litoral Norte e Agreste Baiano";1991;"Branca";16,6
"285";2923209;"Oliveira dos Brejinhos";"Velho Chico";1991;"Branca";16,8
"286";2923308;"Ouriçangas";"Litoral Norte e Agreste Baiano";1991;"Branca";2
"287";2923357;"Ourolândia";"Piemonte da Diamantina";1991;"Branca";9,3
"288";2923407;"Palmas de Monte Alto";"Sertão Produtivo";1991;"Branca";28,4
"289";2923506;"Palmeiras";"Chapada Diamantina";1991;"Branca";16
"290";2923605;"Paramirim";"Bacia do Paramirim";1991;"Branca";49
"291";2923704;"Paratinga";"Velho Chico";1991;"Branca";6,9
"292";2923803;"Paripiranga";"Semiárido Nordeste II";1991;"Branca";49,7
"293";2923902;"Pau Brasil";"Litoral Sul";1991;"Branca";15,7
"294";2924009;"Paulo Afonso";"Itaparica";1991;"Branca";31,1
"295";2924058;"Pé de Serra";"Bacia do Jacuípe";1991;"Branca";39,3
"296";2924108;"Pedrão";"Litoral Norte e Agreste Baiano";1991;"Branca";3,5
"297";2924207;"Pedro Alexandre";"Semiárido Nordeste II";1991;"Branca";17,4
"298";2924306;"Piatã";"Chapada Diamantina";1991;"Branca";11,2
"299";2924405;"Pilão Arcado";"Sertão do São Francisco";1991;"Branca";8,1
"300";2924504;"Pindaí";"Sertão Produtivo";1991;"Branca";22,5
"301";2924603;"Pindobaçu";"Piemonte Norte do Itapicuru";1991;"Branca";8,5
"302";2924652;"Pintadas";"Bacia do Jacuípe";1991;"Branca";10,2
"303";2924678;"Piraí do Norte";"Baixo Sul";1991;"Branca";12
"304";2924702;"Piripá";"Sudoeste Baiano";1991;"Branca";7,5
"305";2924801;"Piritiba";"Piemonte do Paraguaçu";1991;"Branca";12,7
"306";2924900;"Planaltino";"Vale do Jiquiriçá";1991;"Branca";18
"307";2925006;"Planalto";"Sudoeste Baiano";1991;"Branca";49,7
"308";2925105;"Poções";"Sudoeste Baiano";1991;"Branca";32,1
"309";2925204;"Pojuca";"Metropolitano de Salvador";1991;"Branca";9,3
"310";2925253;"Ponto Novo";"Piemonte Norte do Itapicuru";1991;"Branca";20
"311";2925303;"Porto Seguro";"Costa do Descobrimento";1991;"Branca";22,3
"312";2925402;"Potiraguá";"Médio Sudoeste da Bahia";1991;"Branca";19,4
"313";2925501;"Prado";"Extremo Sul";1991;"Branca";12,5
"314";2925600;"Presidente Dutra";"Irecê";1991;"Branca";27,6
"315";2925709;"Presidente Jânio Quadros";"Sudoeste Baiano";1991;"Branca";39,4
"316";2925758;"Presidente Tancredo Neves";"Baixo Sul";1991;"Branca";19,2
"317";2925808;"Queimadas";"Sisal";1991;"Branca";17,4
"318";2925907;"Quijingue";"Sisal";1991;"Branca";15,2
"319";2925931;"Quixabeira";"Bacia do Jacuípe";1991;"Branca";12,7
"320";2925956;"Rafael Jambeiro";"Piemonte do Paraguaçu";1991;"Branca";25
"321";2926004;"Remanso";"Sertão do São Francisco";1991;"Branca";13,4
"322";2926103;"Retirolândia";"Sisal";1991;"Branca";31,9
"323";2926202;"Riachão das Neves";"Bacia do Rio Grande";1991;"Branca";9,8
"324";2926301;"Riachão do Jacuípe";"Bacia do Jacuípe";1991;"Branca";25,2
"325";2926400;"Riacho de Santana";"Velho Chico";1991;"Branca";55,6
"326";2926509;"Ribeira do Amparo";"Semiárido Nordeste II";1991;"Branca";12,3
"327";2926608;"Ribeira do Pombal";"Semiárido Nordeste II";1991;"Branca";35,1
"328";2926657;"Ribeirão do Largo";"Sudoeste Baiano";1991;"Branca";26
"329";2926707;"Rio de Contas";"Chapada Diamantina";1991;"Branca";67,6
"330";2926806;"Rio do Antônio";"Sertão Produtivo";1991;"Branca";52,7
"331";2926905;"Rio do Pires";"Bacia do Paramirim";1991;"Branca";64,3
"332";2927002;"Rio Real";"Litoral Norte e Agreste Baiano";1991;"Branca";19,8
"333";2927101;"Rodelas";"Itaparica";1991;"Branca";47,8
"334";2927200;"Ruy Barbosa";"Piemonte do Paraguaçu";1991;"Branca";14,6
"335";2927309;"Salinas da Margarida";"Recôncavo";1991;"Branca";2,2
"336";2927408;"Salvador";"Metropolitano de Salvador";1991;"Branca";20,4
"337";2927507;"Santa Bárbara";"Portal do Sertão";1991;"Branca";6,1
"338";2927606;"Santa Brígida";"Semiárido Nordeste II";1991;"Branca";16,1
"339";2927705;"Santa Cruz Cabrália";"Costa do Descobrimento";1991;"Branca";24,1
"340";2927804;"Santa Cruz da Vitória";"Médio Sudoeste da Bahia";1991;"Branca";16,4
"341";2927903;"Santa Inês";"Vale do Jiquiriçá";1991;"Branca";17,7
"342";2928059;"Santa Luzia";"Litoral Sul";1991;"Branca";4,1
"343";2928109;"Santa Maria da Vitória";"Bacia do Rio Corrente";1991;"Branca";28,5
"344";2928406;"Santa Rita de Cássia";"Bacia do Rio Grande";1991;"Branca";28,7
"345";2928505;"Santa Terezinha";"Piemonte do Paraguaçu";1991;"Branca";22,1
"346";2928000;"Santaluz";"Sisal";1991;"Branca";12,3
"347";2928208;"Santana";"Bacia do Rio Corrente";1991;"Branca";29,7
"348";2928307;"Santanópolis";"Portal do Sertão";1991;"Branca";1,6
"349";2928604;"Santo Amaro";"Recôncavo";1991;"Branca";5,1
"350";2928703;"Santo Antônio de Jesus";"Recôncavo";1991;"Branca";22,6
"351";2928802;"Santo Estevão";"Portal do Sertão";1991;"Branca";15
"352";2928901;"São Desidério";"Bacia do Rio Grande";1991;"Branca";28,6
"353";2928950;"São Domingos";"Sisal";1991;"Branca";19,8
"354";2929107;"São Felipe";"Recôncavo";1991;"Branca";15,7
"355";2929008;"São Félix";"Recôncavo";1991;"Branca";6,5
"356";2929057;"São Félix do Coribe";"Bacia do Rio Corrente";1991;"Branca";41,8
"357";2929206;"São Francisco do Conde";"Metropolitano de Salvador";1991;"Branca";5
"358";2929255;"São Gabriel";"Irecê";1991;"Branca";12,7
"359";2929305;"São Gonçalo dos Campos";"Portal do Sertão";1991;"Branca";6,2
