CD_GEOCMU;NM_MUNICIP;NM_TI;Ano2001;Ano2002;Ano2003;Ano2004;Ano2005;Ano2006;Ano2007;Ano2008;Ano2009;Ano2011;Ano2012;Ano2013;Ano2014;Ano2015;Ano2016;Ano2017;Ano2018;Ano2019;Ano2020
2918506;Jussara;Irecê;15437;15620;15751;16025;16177;16324;14833;15229;15204;15028;15004;15848;15844;15841;16006;16006;15307;15284;15262
2918555;Jussari;Litoral Sul;7421;7364;7274;7087;6983;6883;6857;6980;6914;6397;6322;6493;6434;6378;6324;6275;5902;5833;5768
2918605;Jussiape;Chapada Diamantina;10028;10014;9996;11421;11440;11460;8465;8356;8043;7778;7533;7741;7429;7229;7239;7066;6406;6186;5976
2918704;Lafaiete Coutinho;Vale do Jiquiriçá;3978;3887;3787;3577;3461;3349;3526;3561;3502;3865;3830;4017;4046;4020;3996;3975;3757;3724;3693
2918753;Lagoa Real;Sertão Produtivo;12978;13141;13316;13682;13885;14081;13795;14359;14510;14063;14187;15542;15676;15801;15920;16029;15555;15665;15770
2918803;Laje;Vale do Jiquiriçá;19738;19871;19996;20259;20404;20545;21104;21957;22180;22444;22679;24207;23682;23904;24112;24306;23638;23840;24032
2918902;Lajedão;Extremo Sul;3353;3323;3283;3199;3153;3108;3469;3585;3599;3758;3782;3971;3997;4022;4046;4068;3934;3955;3975
2919009;Lajedinho;Piemonte do Paraguaçu;4122;3958;3775;3391;3179;2973;4329;4461;4468;3908;3881;4079;3993;3974;4032;4017;3808;3783;3758
2919058;Lajedo do Tabocal;Vale do Jiquiriçá;8290;8442;8600;8933;9117;9296;8591;8923;8999;8326;8346;8847;8810;8836;8862;8886;8546;8562;8577
2919108;Lamarão;Sisal;9432;9365;9291;9137;9052;8969;11988;12682;12995;9413;9271;9673;9554;9442;9099;9007;8430;8307;8191
2919157;Lapão;Irecê;25153;25529;25902;26684;27117;27536;25557;26461;26616;25717;25785;27338;27432;27521;28166;28244;27170;27223;27274
2919207;Lauro de Freitas;Metropolitano de Salvador;118678;122858;127182;136258;141280;146150;144492;153016;156936;167309;171042;184383;188013;191436;194641;197636;195095;198440;201635
2919306;Lençóis;Chapada Diamantina;9055;9189;9318;9590;9741;9887;9617;10008;10112;10480;10589;11300;11340;11445;11544;11636;11315;11409;11499
2919405;Licínio de Almeida;Sudoeste Baiano;12108;11983;11813;11456;11259;11067;12695;13135;13205;12295;12268;12962;12965;12966;12967;12969;12406;12388;12373
2919504;Livramento de Nossa Senhora;Sertão Produtivo;38433;38799;39159;39913;40331;40735;42146;43994;44568;43110;43514;45236;45647;46035;46399;46739;45388;45732;46062
2919553;Luís Eduardo Magalhães;Bacia do Rio Grande;19212;19778;20319;21454;22081;22690;44265;48977;52054;63290;66371;73061;76420;79162;81730;83557;84753;87519;90162
2919603;Macajuba;Piemonte do Paraguaçu;11571;11683;11781;11984;12097;12207;11207;11522;11517;11215;11201;11835;11836;11837;11878;11879;11364;11348;11332
2919702;Macarani;Médio Sudoeste da Bahia;14646;14707;14759;14870;14930;14990;16046;16735;16940;17285;17253;18419;18608;18786;18954;19110;18592;18755;18909
2919801;Macaúbas;Bacia do Paramirim;42467;43120;43824;45301;45819;46606;45958;47991;48633;47490;47915;49436;49861;50262;50637;50987;49474;49826;50161
2919900;Macururé;Itaparica;8790;9000;9179;9557;9766;9969;7779;7913;7834;8032;7992;8417;8390;8365;8288;8266;7862;7824;7787
2919926;Madre de Deus;Metropolitano de Salvador;12499;12636;12915;13500;13823;14137;15432;16354;16783;17786;18183;19600;19985;20348;20689;21007;20737;21093;21432
2919959;Maetinga;Sudoeste Baiano;14060;14378;14699;15372;15745;16107;8793;8432;7884;6554;6048;5972;5561;5174;4796;4456;3577;3161;2764
2920007;Maiquinique;Médio Sudoeste da Bahia;6791;7219;7170;7066;7008;6953;8324;8713;8848;8894;9229;9864;9976;10082;10183;10274;10016;10112;10206
2920106;Mairi;Bacia do Jacuípe;19992;19941;19874;19734;19656;19581;19259;19752;19700;19243;19163;20194;20144;20097;19736;19695;18753;18676;18602
2920205;Malhada;Velho Chico;15656;15699;15738;15821;15867;15912;16085;16647;16739;16037;16058;17375;17416;17455;17491;17526;16830;16845;16861
