;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;situacao_conjugal;total_civil
315;2925709;Presidente Jânio Quadros;Sudoeste Baiano;2000;casado;4616
316;2925758;Presidente Tancredo Neves;Baixo Sul;2000;casado;2336
317;2925808;Queimadas;Sisal;2000;casado;5112
318;2925907;Quijingue;Sisal;2000;casado;2844
319;2925931;Quixabeira;Bacia do Jacuípe;2000;casado;2417
320;2925956;Rafael Jambeiro;Piemonte do Paraguaçu;2000;casado;4926
321;2926004;Remanso;Sertão do São Francisco;2000;casado;12014
322;2926103;Retirolândia;Sisal;2000;casado;3068
323;2926202;Riachão das Neves;Bacia do Rio Grande;2000;casado;5643
324;2926301;Riachão do Jacuípe;Bacia do Jacuípe;2000;casado;8476
325;2926400;Riacho de Santana;Velho Chico;2000;casado;9874
326;2926509;Ribeira do Amparo;Semiárido Nordeste II;2000;casado;1704
327;2926608;Ribeira do Pombal;Semiárido Nordeste II;2000;casado;7583
328;2926657;Ribeirão do Largo;Sudoeste Baiano;2000;casado;3581
329;2926707;Rio de Contas;Chapada Diamantina;2000;casado;5221
330;2926806;Rio do Antônio;Sertão Produtivo;2000;casado;4613
331;2926905;Rio do Pires;Bacia do Paramirim;2000;casado;4242
332;2927002;Rio Real;Litoral Norte e Agreste Baiano;2000;casado;7660
333;2927101;Rodelas;Itaparica;2000;casado;1662
334;2927200;Ruy Barbosa;Piemonte do Paraguaçu;2000;casado;6184
335;2927309;Salinas da Margarida;Recôncavo;2000;casado;1704
336;2927408;Salvador;Metropolitano de Salvador;2000;casado;538971
337;2927507;Santa Bárbara;Portal do Sertão;2000;casado;3488
338;2927606;Santa Brígida;Semiárido Nordeste II;2000;casado;4161
339;2927705;Santa Cruz Cabrália;Costa do Descobrimento;2000;casado;3633
340;2927804;Santa Cruz da Vitória;Médio Sudoeste da Bahia;2000;casado;2653
341;2927903;Santa Inês;Vale do Jiquiriçá;2000;casado;1741
342;2928059;Santa Luzia;Litoral Sul;2000;casado;1423
343;2928109;Santa Maria da Vitória;Bacia do Rio Corrente;2000;casado;11816
344;2928406;Santa Rita de Cássia;Bacia do Rio Grande;2000;casado;6789
345;2928505;Santa Terezinha;Piemonte do Paraguaçu;2000;casado;1704
346;2928000;Santaluz;Sisal;2000;casado;8179
347;2928208;Santana;Bacia do Rio Corrente;2000;casado;8723
348;2928307;Santanópolis;Portal do Sertão;2000;casado;1521
349;2928604;Santo Amaro;Recôncavo;2000;casado;8085
350;2928703;Santo Antônio de Jesus;Recôncavo;2000;casado;20918
351;2928802;Santo Estevão;Portal do Sertão;2000;casado;9333
352;2928901;São Desidério;Bacia do Rio Grande;2000;casado;5955
353;2928950;São Domingos;Sisal;2000;casado;2181
354;2929107;São Felipe;Recôncavo;2000;casado;3925
355;2929008;São Félix;Recôncavo;2000;casado;2823
356;2929057;São Félix do Coribe;Bacia do Rio Corrente;2000;casado;3495
357;2929206;São Francisco do Conde;Metropolitano de Salvador;2000;casado;3474
358;2929255;São Gabriel;Irecê;2000;casado;5898
359;2929305;São Gonçalo dos Campos;Portal do Sertão;2000;casado;5392
360;2929354;São José da Vitória;Litoral Sul;2000;casado;672
361;2929370;São José do Jacuípe;Bacia do Jacuípe;2000;casado;1839
362;2929404;São Miguel das Matas;Vale do Jiquiriçá;2000;casado;2293
363;2929503;São Sebastião do Passé;Metropolitano de Salvador;2000;casado;6326
364;2929602;Sapeaçu;Recôncavo;2000;casado;3911
365;2929701;Sátiro Dias;Litoral Norte e Agreste Baiano;2000;casado;4249
366;2929750;Saubara;Recôncavo;2000;casado;1380
367;2929800;Saúde;Piemonte da Diamantina;2000;casado;2386
368;2929909;Seabra;Chapada Diamantina;2000;casado;8392
369;2930006;Sebastião Laranjeiras;Sertão Produtivo;2000;casado;3039
370;2930105;Senhor do Bonfim;Piemonte Norte do Itapicuru;2000;casado;18657
371;2930204;Sento Sé;Sertão do São Francisco;2000;casado;7530
372;2930154;Serra do Ramalho;Velho Chico;2000;casado;7651
373;2930303;Serra Dourada;Bacia do Rio Corrente;2000;casado;6369
374;2930402;Serra Preta;Bacia do Jacuípe;2000;casado;3796
375;2930501;Serrinha;Sisal;2000;casado;20016
376;2930600;Serrolândia;Piemonte da Diamantina;2000;casado;3375
377;2930709;Simões Filho;Metropolitano de Salvador;2000;casado;18327
378;2930758;Sítio do Mato;Velho Chico;2000;casado;1979
379;2930766;Sítio do Quinto;Semiárido Nordeste II;2000;casado;3688
380;2930774;Sobradinho;Sertão do São Francisco;2000;casado;5765
381;2930808;Souto Soares;Chapada Diamantina;2000;casado;1406
382;2930907;Tabocas do Brejo Velho;Bacia do Rio Corrente;2000;casado;4508
383;2931004;Tanhaçu;Sertão Produtivo;2000;casado;5705
384;2931053;Tanque Novo;Sertão Produtivo;2000;casado;4627
385;2931103;Tanquinho;Portal do Sertão;2000;casado;1580
386;2931202;Taperoá;Baixo Sul;2000;casado;2032
387;2931301;Tapiramutá;Piemonte do Paraguaçu;2000;casado;2914
388;2931350;Teixeira de Freitas;Extremo Sul;2000;casado;25718
389;2931400;Teodoro Sampaio;Portal do Sertão;2000;casado;1248
390;2931509;Teofilândia;Sisal;2000;casado;4598
391;2931608;Teolândia;Baixo Sul;2000;casado;1475
392;2931707;Terra Nova;Portal do Sertão;2000;casado;1799
393;2931806;Tremedal;Sudoeste Baiano;2000;casado;6313
394;2931905;Tucano;Sisal;2000;casado;6441
395;2932002;Uauá;Sertão do São Francisco;2000;casado;5408
396;2932101;Ubaíra;Vale do Jiquiriçá;2000;casado;3546
397;2932200;Ubaitaba;Litoral Sul;2000;casado;2599
398;2932309;Ubatã;Médio Rio de Contas;2000;casado;3043
399;2932408;Uibaí;Irecê;2000;casado;3564
400;2932457;Umburanas;Piemonte da Diamantina;2000;casado;2750
401;2932507;Una;Litoral Sul;2000;casado;3660
402;2932606;Urandi;Sertão Produtivo;2000;casado;4219
403;2932705;Uruçuca;Litoral Sul;2000;casado;3672
404;2932804;Utinga;Chapada Diamantina;2000;casado;2879
405;2932903;Valença;Baixo Sul;2000;casado;11105
406;2933000;Valente;Sisal;2000;casado;5957
407;2933059;Várzea da Roça;Bacia do Jacuípe;2000;casado;3553
408;2933109;Várzea do Poço;Bacia do Jacuípe;2000;casado;2464
409;2933158;Várzea Nova;Piemonte da Diamantina;2000;casado;3603
410;2933174;Varzedo;Recôncavo;2000;casado;2761
411;2933208;Vera Cruz;Metropolitano de Salvador;2000;casado;5201
412;2933257;Vereda;Extremo Sul;2000;casado;1669
413;2933307;Vitória da Conquista;Sudoeste Baiano;2000;casado;71024
414;2933406;Wagner;Chapada Diamantina;2000;casado;1354
415;2933455;Wanderley;Bacia do Rio Grande;2000;casado;4324
416;2933505;Wenceslau Guimarães;Baixo Sul;2000;casado;2938
417;2933604;Xique-Xique;Irecê;2000;casado;9764
418;2900108;Abaíra;Chapada Diamantina;2010;casado;3274
419;2900207;Abaré;Itaparica;2010;casado;5198
420;2900306;Acajutiba;Litoral Norte e Agreste Baiano;2010;casado;3100
421;2900355;Adustina;Semiárido Nordeste II;2010;casado;2847
422;2900405;Água Fria;Portal do Sertão;2010;casado;3111
423;2900603;Aiquara;Médio Rio de Contas;2010;casado;802
