Codigo do Municipio;Municipios;Territorios Identidade;Total;Nascidos vivos;Nascidos mortos;percentual_nascidosvivos
2922755;Nova Ibiá;Médio Rio de Contas;6957;6467;491;0,070576398
2922805;Nova Itarana;Vale do Jiquiriçá;8676;8057;619;0,071346243
2922854;Nova Redenção;Chapada Diamantina;10290;9778;512;0,049757046
2922904;Nova Soure;Semiárido Nordeste II;29961;28212;1748;0,058342512
2923001;Nova Viçosa;Extremo Sul;39344;36594;2750;0,069896299
2923035;Novo Horizonte;Chapada Diamantina;10496;10044;452;0,043064024
2923050;Novo Triunfo;Semiárido Nordeste II;13753;13195;558;0,040572966
2923100;Olindina;Litoral Norte e Agreste Baiano;25900;24315;1585;0,061196911
2923209;Oliveira dos Brejinhos;Velho Chico;24764;23359;1405;0,056735584
2923308;Ouriçangas;Litoral Norte e Agreste Baiano;9239;8972;267;0,028899232
2923357;Ourolândia;Piemonte da Diamantina;17737;16760;977;0,055082596
2923407;Palmas de Monte Alto;Sertão Produtivo;22453;20834;1619;0,072106177
2923506;Palmeiras;Chapada Diamantina;8528;8147;381;0,04467636
2923605;Paramirim;Bacia do Paramirim;19990;19382;609;0,030465233
2923704;Paratinga;Velho Chico;32531;30909;1621;0,049829394
2923803;Paripiranga;Semiárido Nordeste II;29000;27247;1753;0,060448276
2923902;Pau Brasil;Litoral Sul;12219;11284;935;0,076520174
2924009;Paulo Afonso;Itaparica;105345;100058;5287;0,050187479
2924058;Pé de Serra;Bacia do Jacuípe;16997;16463;533;0,031358475
2924108;Pedrão;Litoral Norte e Agreste Baiano;8116;7843;273;0,03363726
2924207;Pedro Alexandre;Semiárido Nordeste II;15705;14751;954;0,060744986
2924306;Piatã;Chapada Diamantina;19415;18588;827;0,042595931
2924405;Pilão Arcado;Sertão do São Francisco;37511;35731;1780;0,047452747
2924504;Pindaí;Sertão Produtivo;17443;16732;711;0,040761337
2924603;Pindobaçu;Piemonte Norte do Itapicuru;19828;18730;1098;0,055376236
2924652;Pintadas;Bacia do Jacuípe;11622;11237;385;0,033126828
2924678;Piraí do Norte;Baixo Sul;10058;9424;634;0,0630344
2924702;Piripá;Sudoeste Baiano;13301;12847;454;0,034132772
2924801;Piritiba;Piemonte do Paraguaçu;25213;24060;1153;0,045730377
2924900;Planaltino;Vale do Jiquiriçá;10132;9694;438;0,043229372
2925006;Planalto;Sudoeste Baiano;27071;25536;1535;0,056702745
2925105;Poções;Sudoeste Baiano;50082;46990;3092;0,061738748
2925204;Pojuca;Metropolitano de Salvador;27032;26012;1020;0,037733057
2925253;Ponto Novo;Piemonte Norte do Itapicuru;19078;18048;1030;0,053988888
2925303;Porto Seguro;Costa do Descobrimento;105676;99795;5881;0,055651236
2925402;Potiraguá;Médio Sudoeste da Bahia;11330;10774;556;0,049073257
2925501;Prado;Extremo Sul;28805;27429;1376;0,047769484
2925600;Presidente Dutra;Irecê;14585;14071;514;0,035241687
2925709;Presidente Jânio Quadros;Sudoeste Baiano;15749;14818;931;0,059114864
2925758;Presidente Tancredo Neves;Baixo Sul;24991;23245;1746;0,069865151
2925808;Queimadas;Sisal;29584;27640;1944;0,065711195
2925907;Quijingue;Sisal;36254;33566;2688;0,074143543
2925931;Quixabeira;Bacia do Jacuípe;11986;11309;677;0,056482563
2925956;Rafael Jambeiro;Piemonte do Paraguaçu;28386;25782;2604;0,091735363
2926004;Remanso;Sertão do São Francisco;41736;39720;2017;0,048327583
2926103;Retirolândia;Sisal;13671;12920;751;0,054933801
2926202;Riachão das Neves;Bacia do Rio Grande;24134;22440;1694;0,070191431
2926301;Riachão do Jacuípe;Bacia do Jacuípe;37141;35383;1758;0,047333136
2926400;Riacho de Santana;Velho Chico;32183;30839;1345;0,041792251
2926509;Ribeira do Amparo;Semiárido Nordeste II;18776;17668;1108;0,059011504
2926608;Ribeira do Pombal;Semiárido Nordeste II;51915;49031;2883;0,055533083
2926657;Ribeirão do Largo;Sudoeste Baiano;9011;8460;551;0,061147486
2926707;Rio de Contas;Chapada Diamantina;13934;13347;588;0,042198938
2926806;Rio do Antônio;Sertão Produtivo;16674;15971;703;0,042161449
2926905;Rio do Pires;Bacia do Paramirim;12291;12001;290;0,0235945
2927002;Rio Real;Litoral Norte e Agreste Baiano;39645;37129;2516;0,063463236
2927101;Rodelas;Itaparica;6624;6299;325;0,04906401
2927200;Ruy Barbosa;Piemonte do Paraguaçu;32325;30301;2024;0,062614076
2927309;Salinas da Margarida;Recôncavo;14763;13976;787;0,053308948
2927408;Salvador;Metropolitano de Salvador;1953341;1866145;87196;0,044639415
2927507;Santa Bárbara;Portal do Sertão;19676;18514;1163;0,059107542
2927606;Santa Brígida;Semiárido Nordeste II;17439;16670;769;0,044096565
2927705;Santa Cruz Cabrália;Costa do Descobrimento;24282;23417;865;0,035623095
2927804;Santa Cruz da Vitória;Médio Sudoeste da Bahia;5814;5614;200;0,034399725
2927903;Santa Inês;Vale do Jiquiriçá;11872;11326;546;0,045990566
2928059;Santa Luzia;Litoral Sul;14544;13975;569;0,039122662
2928109;Santa Maria da Vitória;Bacia do Rio Corrente;45083;42418;2666;0,059135373
2928406;Santa Rita de Cássia;Bacia do Rio Grande;29521;27558;1964;0,066528912
2928505;Santa Terezinha;Piemonte do Paraguaçu;11834;11102;732;0,06185567
2928000;Santaluz;Sisal;37827;35956;1871;0,049462024
2928208;Santana;Bacia do Rio Corrente;24607;23400;1207;0,049051083
2928307;Santanópolis;Portal do Sertão;11570;11157;413;0,035695765
2928604;Santo Amaro;Recôncavo;59030;55371;3659;0,061985431
2928703;Santo Antônio de Jesus;Recôncavo;78320;74410;3910;0,049923391
2928802;Santo Estevão;Portal do Sertão;48391;45880;2511;0,051889814
2928901;São Desidério;Bacia do Rio Grande;24921;23296;1625;0,065206051
2928950;São Domingos;Sisal;10479;10080;399;0,038076152
2929107;São Felipe;Recôncavo;21120;19885;1234;0,05842803
2929008;São Félix;Recôncavo;13758;12843;915;0,06650676
2929057;São Félix do Coribe;Bacia do Rio Corrente;13453;12813;640;0,047573032
2929206;São Francisco do Conde;Metropolitano de Salvador;31190;29609;1580;0,050657262
2929255;São Gabriel;Irecê;20900;20018;882;0,042200957
2929305;São Gonçalo dos Campos;Portal do Sertão;30859;29579;1281;0,041511391
2929354;São José da Vitória;Litoral Sul;7194;6701;493;0,06852933
2929370;São José do Jacuípe;Bacia do Jacuípe;12717;12079;638;0,050169065
2929404;São Miguel das Matas;Vale do Jiquiriçá;10208;9754;453;0,044376959
2929503;São Sebastião do Passé;Metropolitano de Salvador;40787;38465;2322;0,056929904
2929602;Sapeaçu;Recôncavo;16606;15763;842;0,050704565
2929701;Sátiro Dias;Litoral Norte e Agreste Baiano;21578;20286;1292;0,059875799
2929750;Saubara;Recôncavo;12252;11745;507;0,041380999
2929800;Saúde;Piemonte da Diamantina;13082;12339;743;0,056795597
2929909;Seabra;Chapada Diamantina;40957;38840;2117;0,051688356
2930006;Sebastião Laranjeiras;Sertão Produtivo;11061;10440;621;0,056143206
2930105;Senhor do Bonfim;Piemonte Norte do Itapicuru;76742;72050;4692;0,061139923
2930204;Sento Sé;Sertão do São Francisco;39309;37618;1692;0,043043578
2930154;Serra do Ramalho;Velho Chico;37517;35119;2399;0,063944345
2930303;Serra Dourada;Bacia do Rio Corrente;20701;19991;710;0,03429786
2930402;Serra Preta;Bacia do Jacuípe;19995;18979;1016;0,050812703
2930501;Serrinha;Sisal;78562;74862;3699;0,047083832
2930600;Serrolândia;Piemonte da Diamantina;14497;13716;781;0,053873215
