codigo_ibge;nome;latitude;longitude;lat_teste;long_teste
2913705;Inhambupe;-11.781;-38.355;-1,1781E+16;-3,8355E+16
2913804;Ipecaetá;-123.028;-393.069;-1,23028E+17;-3,93069E+17
2913903;Ipiaú;-141.226;-397.353;-1,41226E+17;-3,97353E+17
2914000;Ipirá;-121.561;-397.359;-1,21561E+17;-3,97359E+17
2914109;Ipupiara;-118.219;-426.179;-1,18219E+17;-4,26179E+17
2914208;Irajuba;-132.563;-400.848;-1,32563E+17;-4,00848E+17
2914307;Iramaia;-132.902;-409.595;-1,32902E+17;-4,09595E+17
2914406;Iraquara;-122.429;-416.155;-1,22429E+17;-4,16155E+17
2914505;Irará;-120.504;-387.631;-1,20504E+17;-3,87631E+17
2914604;Irecê;-113.033;-418.535;-1,13033E+17;-4,18535E+17
2914653;Itabela;-165.732;-395.593;-1,65732E+17;-3,95593E+17
2914703;Itaberaba;-125.242;-403.059;-1,25242E+17;-4,03059E+17
2914802;Itabuna;-147.876;-392.781;-1,47876E+17;-3,92781E+17
2914901;Itacaré;-142.784;-389.959;-1,42784E+17;-3,89959E+17
2915007;Itaeté;-129.831;-409.677;-1,29831E+17;-4,09677E+17
2915106;Itagi;-141.615;-400.131;-1,41615E+17;-4,00131E+17
2915205;Itagibá;-142.782;-398.449;-1,42782E+17;-3,98449E+17
2915304;Itagimirim;-160.819;-396.133;-1,60819E+17;-3,96133E+17
2915353;Itaguaçu da Bahia;-110.147;-423.997;-1,10147E+17;-4,23997E+17
2915403;Itaju do Colônia;-151.366;-397.283;-1,51366E+17;-3,97283E+17
2915502;Itajuípe;-146.788;-393.698;-1,46788E+17;-3,93698E+17
2915601;Itamaraju;-170.378;-395.386;-1,70378E+17;-3,95386E+17
2915700;Itamari;-137.782;-39.683;-1,37782E+17;-3,9683E+16
2915809;Itambé;-152.429;-40.63;-1,52429E+17;#VALOR!
2915908;Itanagra;-122.614;-380.436;-1,22614E+17;-3,80436E+17
2916005;Itanhém;-171.642;-403.321;-1,71642E+17;-4,03321E+17
2916104;Itaparica;-128.932;-38.68;-1,28932E+17;#VALOR!
2916203;Itapé;-148.876;-394.239;-1,48876E+17;-3,94239E+17
2916302;Itapebi;-159.551;-395.329;-1,59551E+17;-3,95329E+17
2916401;Itapetinga;-152.475;-402.482;-1,52475E+17;-4,02482E+17
2916500;Itapicuru;-113.088;-382.262;-1,13088E+17;-3,82262E+17
2916609;Itapitanga;-144.139;-395.657;-1,44139E+17;-3,95657E+17
2916708;Itaquara;-134.459;-399.378;-1,34459E+17;-3,99378E+17
2916807;Itarantim;-156.528;-40.065;-1,56528E+17;-4,0065E+16
2916856;Itatim;-127.099;-396.952;-1,27099E+17;-3,96952E+17
2916906;Itiruçu;-13.529;-401.472;-1,3529E+16;-4,01472E+17
2917003;Itiúba;-106.948;-398.446;-1,06948E+17;-3,98446E+17
2917102;Itororó;-15.11;-400.684;#VALOR!;-4,00684E+17
2917201;Ituaçu;-138.107;-413.003;-1,38107E+17;-4,13003E+17
2917300;Ituberá;-137.249;-391.481;-1,37249E+17;-3,91481E+17
2917334;Iuiú;-144.054;-435.595;-1,44054E+17;-4,35595E+17
2917359;Jaborandi;-136.071;-444.255;-1,36071E+17;-4,44255E+17
2917409;Jacaraci;-148.541;-424.329;-1,48541E+17;-4,24329E+17
2917508;Jacobina;-111.812;-405.117;-1,11812E+17;-4,05117E+17
2917607;Jaguaquara;-135.248;-39.964;-1,35248E+17;-3,9964E+16
2917706;Jaguarari;-102.569;-401.999;-1,02569E+17;-4,01999E+17
2917805;Jaguaripe;-131.109;-388.939;-1,31109E+17;-3,88939E+17
2917904;Jandaíra;-115.616;-377.853;-1,15616E+17;-3,77853E+17
2918001;Jequié;-138.509;-400.877;-1,38509E+17;-4,00877E+17
2918100;Jeremoabo;-100.685;-383.471;-1,00685E+17;-3,83471E+17
2918209;Jiquiriçá;-132.621;-395.737;-1,32621E+17;-3,95737E+17
2918308;Jitaúna;-140.131;-398.969;-1,40131E+17;-3,98969E+17
2918357;João Dourado;-113.486;-416.548;-1,13486E+17;-4,16548E+17
2918407;Juazeiro;-941.622;-405.033;-9,41622E+17;-4,05033E+17
2918456;Jucuruçu;-168.488;-401.641;-1,68488E+17;-4,01641E+17
2918506;Jussara;-110.431;-419.702;-1,10431E+17;-4,19702E+17
2918555;Jussari;-15.192;-39.491;-1,5192E+16;-3,9491E+16
2918605;Jussiape;-135.155;-415.882;-1,35155E+17;-4,15882E+17
2918704;Lafaiete Coutinho;-136.541;-402.119;-1,36541E+17;-4,02119E+17
2918803;Lagoa Real;-140.334;-421.328;-1,40334E+17;-4,21328E+17
2918902;Laje;-131.673;-394.213;-1,31673E+17;-3,94213E+17
2919009;Lajedão;-176.056;-403.383;-1,76056E+17;-4,03383E+17
2919058;Lajedinho;-123.529;-409.048;-1,23529E+17;-4,09048E+17
2918753;Lajedo do Tabocal;-134.663;-402.204;-1,34663E+17;-4,02204E+17
2919108;Lamarão;-11.773;-38.887;-1,1773E+16;-3,8887E+16
2919157;Lapão;-113.851;-418.286;-1,13851E+17;-4,18286E+17
2919207;Lauro de Freitas;-128.978;-38.321;-1,28978E+17;-3,8321E+16
2919306;Lençóis;-125.616;-413.928;-1,25616E+17;-4,13928E+17
2919405;Licínio de Almeida;-146.842;-425.095;-1,46842E+17;-4,25095E+17
2919504;Livramento de Nossa Senhora;-136.369;-418.432;-1,36369E+17;-4,18432E+17
2919553;Luís Eduardo Magalhães;-120.956;-457.866;-1,20956E+17;-4,57866E+17
2919603;Macajuba;-121.326;-403.571;-1,21326E+17;-4,03571E+17
2919702;Macarani;-155.646;-404.209;-1,55646E+17;-4,04209E+17
2919801;Macaúbas;-130.186;-426.945;-1,30186E+17;-4,26945E+17
2919900;Macururé;-916.226;-390.518;-9,16226E+17;-3,90518E+17
2919926;Madre de Deus;-127.446;-386.153;-1,27446E+17;-3,86153E+17
2919959;Maetinga;-146.623;-414.915;-1,46623E+17;-4,14915E+17
2920007;Maiquinique;-15.624;-402.587;-1,5624E+16;-4,02587E+17
2920106;Mairi;-117.107;-401.437;-1,17107E+17;-4,01437E+17
2920205;Malhada;-143.371;-437.686;-1,43371E+17;-4,37686E+17
2920304;Malhada de Pedras;-143.847;-418.842;-1,43847E+17;-4,18842E+17
2920403;Manoel Vitorino;-141.476;-402.399;-1,41476E+17;-4,02399E+17
2920452;Mansidão;-107.227;-440.428;-1,07227E+17;-4,40428E+17
2920502;Maracás;-134.355;-404.323;-1,34355E+17;-4,04323E+17
2920601;Maragogipe;-12.776;-389.175;-1,2776E+16;-3,89175E+17
2920700;Maraú;-141.035;-390.137;-1,41035E+17;-3,90137E+17
2920809;Marcionílio Souza;-130.064;-405.295;-1,30064E+17;-4,05295E+17
2920908;Mascote;-155.542;-393.016;-1,55542E+17;-3,93016E+17
2921005;Mata de São João;-125.307;-383.009;-1,25307E+17;-3,83009E+17
2921054;Matina;-139.109;-428.439;-1,39109E+17;-4,28439E+17
2921104;Medeiros Neto;-173.707;-402.238;-1,73707E+17;-4,02238E+17
2921203;Miguel Calmon;-114.299;-406.031;-1,14299E+17;-4,06031E+17
2921302;Milagres;-128.646;-398.611;-1,28646E+17;-3,98611E+17
2921401;Mirangaba;-10.961;-40.574;-1,0961E+16;-4,0574E+16
2921450;Mirante;-142.385;-407.718;-1,42385E+17;-4,07718E+17
2921500;Monte Santo;-104.374;-393.321;-1,04374E+17;-3,93321E+17
2921609;Morpará;-115.569;-432.766;-1,15569E+17;-4,32766E+17
2921708;Morro do Chapéu;-115.488;-411.565;-1,15488E+17;-4,11565E+17
2921807;Mortugaba;-150.225;-423.727;-1,50225E+17;-4,23727E+17
2921906;Mucugê;-130.053;-413.703;-1,30053E+17;-4,13703E+17
2922003;Mucuri;-180.754;-395.565;-1,80754E+17;-3,95565E+17
2922052;Mulungu do Morro;-119.648;-416.374;-1,19648E+17;-4,16374E+17
2922102;Mundo Novo;-118.541;-404.714;-1,18541E+17;-4,04714E+17
2922201;Muniz Ferreira;-130.092;-391.092;-1,30092E+17;-3,91092E+17
2922250;Muquém de São Francisco;-12.065;-435.497;-1,2065E+16;-4,35497E+17
2922300;Muritiba;-126.329;-389.921;-1,26329E+17;-3,89921E+17
2922409;Mutuípe;-132.284;-395.044;-1,32284E+17;-3,95044E+17
2922508;Nazaré;-130.235;-390.108;-1,30235E+17;-3,90108E+17
2922607;Nilo Peçanha;-13.604;-391.091;-1,3604E+16;-3,91091E+17
2922656;Nordestina;-108.192;-394.297;-1,08192E+17;-3,94297E+17
2922706;Nova Canaã;-147.912;-401.458;-1,47912E+17;-4,01458E+17
2922730;Nova Fátima;-116.031;-396.302;-1,16031E+17;-3,96302E+17
2922755;Nova Ibiá;-13.812;-396.182;-1,3812E+16;-3,96182E+17
2922805;Nova Itarana;-130.241;-400.653;-1,30241E+17;-4,00653E+17
2922854;Nova Redenção;-12.815;-410.748;-1,2815E+16;-4,10748E+17
2922904;Nova Soure;-112.329;-384.871;-1,12329E+17;-3,84871E+17
2923001;Nova Viçosa;-178.926;-393.743;-1,78926E+17;-3,93743E+17
2923035;Novo Horizonte;-128.083;-421.682;-1,28083E+17;-4,21682E+17
2923050;Novo Triunfo;-103.182;-384.014;-1,03182E+17;-3,84014E+17
2923100;Olindina;-113.497;-383.379;-1,13497E+17;-3,83379E+17
2923209;Oliveira dos Brejinhos;-123.132;-428.969;-1,23132E+17;-4,28969E+17
2923308;Ouriçangas;-120.175;-386.166;-1,20175E+17;-3,86166E+17
2923357;Ourolândia;-109.578;-410.756;-1,09578E+17;-4,10756E+17
2923407;Palmas de Monte Alto;-142.676;-431.609;-1,42676E+17;-4,31609E+17
2923506;Palmeiras;-125.059;-415.809;-1,25059E+17;-4,15809E+17
2923605;Paramirim;-134.388;-422.395;-1,34388E+17;-4,22395E+17
2923704;Paratinga;-12.687;-431.798;-1,2687E+16;-4,31798E+17
2923803;Paripiranga;-106.859;-378.626;-1,06859E+17;-3,78626E+17
2923902;Pau Brasil;-154.572;-396.458;-1,54572E+17;-3,96458E+17
2924009;Paulo Afonso;-93.983;-382.216;-9,3983E+16;-3,82216E+17
2924058;Pé de Serra;-118.313;-39.611;-1,18313E+17;-3,9611E+16
2924108;Pedrão;-121.491;-386.487;-1,21491E+17;-3,86487E+17
2924207;Pedro Alexandre;-10.012;-378.932;-1,0012E+16;-3,78932E+17
2924306;Piatã;-131.465;-417.702;-1,31465E+17;-4,17702E+17
2924405;Pilão Arcado;-100.051;-424.936;-1,00051E+17;-4,24936E+17
2924504;Pindaí;-144.921;-42.686;-1,44921E+17;-4,2686E+16
2924603;Pindobaçu;-107.433;-403.675;-1,07433E+17;-4,03675E+17
2924652;Pintadas;-118.117;-399.009;-1,18117E+17;-3,99009E+17
2924678;Piraí do Norte;-13.759;-393.836;-1,3759E+16;-3,93836E+17
2924702;Piripá;-149.444;-417.168;-1,49444E+17;-4,17168E+17
2924801;Piritiba;-11.73;-405.587;#VALOR!;-4,05587E+17
2924900;Planaltino;-132.618;-403.695;-1,32618E+17;-4,03695E+17
2925006;Planalto;-146.654;-404.718;-1,46654E+17;-4,04718E+17
2925105;Poções;-145.234;-403.634;-1,45234E+17;-4,03634E+17
2925204;Pojuca;-124.303;-383.374;-1,24303E+17;-3,83374E+17
2925253;Ponto Novo;-108.653;-401.311;-1,08653E+17;-4,01311E+17
2925303;Porto Seguro;-164.435;-390.643;-1,64435E+17;-3,90643E+17
2925402;Potiraguá;-155.943;-398.638;-1,55943E+17;-3,98638E+17
2925501;Prado;-173.364;-392.227;-1,73364E+17;-3,92227E+17
2925600;Presidente Dutra;-112.923;-419.843;-1,12923E+17;-4,19843E+17
2925709;Presidente Jânio Quadros;-146.885;-416.798;-1,46885E+17;-4,16798E+17
2925758;Presidente Tancredo Neves;-134.471;-394.203;-1,34471E+17;-3,94203E+17
2925808;Queimadas;-109.736;-396.293;-1,09736E+17;-3,96293E+17
2925907;Quijingue;-107.505;-392.137;-1,07505E+17;-3,92137E+17
2925931;Quixabeira;-114.031;-40.12;-1,14031E+17;#VALOR!
2925956;Rafael Jambeiro;-124.053;-395.007;-1,24053E+17;-3,95007E+17
2926004;Remanso;-961.944;-420.848;-9,61944E+17;-4,20848E+17
2926103;Retirolândia;-114.832;-394.234;-1,14832E+17;-3,94234E+17
2926202;Riachão das Neves;-117.508;-449.143;-1,17508E+17;-4,49143E+17
2926301;Riachão do Jacuípe;-118.067;-393.818;-1,18067E+17;-3,93818E+17
2926400;Riacho de Santana;-136.059;-429.397;-1,36059E+17;-4,29397E+17
2926509;Ribeira do Amparo;-110.421;-384.242;-1,10421E+17;-3,84242E+17
2926608;Ribeira do Pombal;-108.373;-385.382;-1,08373E+17;-3,85382E+17
2926657;Ribeirão do Largo;-154.508;-407.441;-1,54508E+17;-4,07441E+17
2926707;Rio de Contas;-135.852;-418.048;-1,35852E+17;-4,18048E+17
2926806;Rio do Antônio;-144.071;-420.721;-1,44071E+17;-4,20721E+17
2926905;Rio do Pires;-131.185;-422.902;-1,31185E+17;-4,22902E+17
2927002;Rio Real;-114.814;-379.332;-1,14814E+17;-3,79332E+17
2927101;Rodelas;-885.021;-38.78;-8,85021E+17;#VALOR!
2927200;Ruy Barbosa;-122.816;-404.931;-1,22816E+17;-4,04931E+17
2927309;Salinas da Margarida;-12.873;-387.562;-1,2873E+16;-3,87562E+17
2927408;Salvador;-129.718;-385.011;-1,29718E+17;-3,85011E+17
2927507;Santa Bárbara;-119.515;-389.681;-1,19515E+17;-3,89681E+17
2927606;Santa Brígida;-973.227;-381.209;-9,73227E+17;-3,81209E+17
2927705;Santa Cruz Cabrália;-162.825;-390.295;-1,62825E+17;-3,90295E+17
2927804;Santa Cruz da Vitória;-14.964;-398.115;-1,4964E+16;-3,98115E+17
2927903;Santa Inês;-132.793;-39.814;-1,32793E+17;-3,9814E+16
2928059;Santa Luzia;-154.342;-393.287;-1,54342E+17;-3,93287E+17
2928109;Santa Maria da Vitória;-133.859;-442.011;-1,33859E+17;-4,42011E+17
2928406;Santa Rita de Cássia;-110.063;-445.255;-1,10063E+17;-4,45255E+17
2928505;Santa Teresinha;-127.697;-395.215;-1,27697E+17;-3,95215E+17
2928000;Santaluz;-112.508;-39.375;-1,12508E+17;-3,9375E+16
2928208;Santana;-129.792;-440.506;-1,29792E+17;-4,40506E+17
2928307;Santanópolis;-120.311;-388.694;-1,20311E+17;-3,88694E+17
2928604;Santo Amaro;-125.472;-387.137;-1,25472E+17;-3,87137E+17
2928703;Santo Antônio de Jesus;-129.614;-392.584;-1,29614E+17;-3,92584E+17
2928802;Santo Estêvão;-12.428;-392.505;-1,2428E+16;-3,92505E+17
2928901;São Desidério;-123.572;-449.769;-1,23572E+17;-4,49769E+17
2928950;São Domingos;-114.649;-395.268;-1,14649E+17;-3,95268E+17
2929107;São Felipe;-128.394;-390.893;-1,28394E+17;-3,90893E+17
2929008;São Félix;-126.104;-389.727;-1,26104E+17;-3,89727E+17
